tick,RP,CSA,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.TVEC_3_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_gates1_out,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_gates9_out,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_wip_out,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_pgf_out,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_pgu_out,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_pviol_out,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_vacc,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_iwrite,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_ifetch,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_iind,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_ipt_15_9,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_ipcr_1_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.s_poni,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.TRAP_TVGEN.s_l2v1_n,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.TRAP_TVGEN.s_l3v1_n,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.TRAP_TVGEN.s_l2v2_n,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.TRAP.TVGEN.TRAP_TVGEN.s_l2v0_n
214920969,121651,4204,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920970,121651,4204,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920971,121651,4204,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920972,121651,4205,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920973,121651,5740,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920974,121651,5740,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920975,121651,5740,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920976,121651,4206,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920977,121651,4206,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920978,121651,4206,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920979,121651,4256,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920980,121651,4256,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920981,121651,4256,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920982,121651,4257,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920983,121651,4257,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920984,121651,4260,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920985,121651,4262,17,0,0,0,0,0,0,0,0,0,0,176,2,1,0,0,0,0
214920986,121651,4262,17,0,0,0,0,0,0,1,0,0,0,176,2,1,0,0,0,0
214920987,121651,4262,7,1,1,0,1,1,1,1,0,0,0,2,2,1,0,0,0,0
214920988,121651,7,7,1,1,0,1,1,1,1,0,0,0,2,2,1,0,0,0,0
# MARK trap7 tick=214920988
214920989,121651,7,7,1,1,0,1,1,1,1,0,0,0,2,2,1,1,0,0,1
214920990,121651,7,7,1,1,0,1,1,1,1,0,0,0,2,2,1,1,0,0,1
214920991,121651,7,7,1,1,0,1,1,1,1,0,0,0,2,2,1,1,0,0,1
214920992,121651,7,7,1,1,0,1,1,1,1,0,0,0,2,2,1,1,0,0,1
214920993,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1
214920994,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1
214920995,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1
214920996,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
214920997,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
214920998,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
214920999,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
214921000,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
214921001,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
214921002,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
214921003,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
214921004,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
214921005,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
214921006,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
214921007,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
214921008,121651,7,17,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
