tick,UART_DIN,UART_CE_n,UART_WR,UART_ADDR,MEMRD_ADDR,MEMRD_DATA,RA,CD16,CSA_12_0
44040557,0,1,1,0,0,0,0,0,1135
44040558,0,1,1,0,0,0,0,0,1140
44040559,0,1,1,0,0,0,0,0,1140
44040560,0,1,1,0,0,0,0,0,1140
44040561,0,1,1,0,0,0,0,0,1141
44040562,1,1,1,0,0,0,0,1,1141
44040563,1,1,1,0,0,0,0,1,1142
44040564,1,1,1,0,0,0,0,1,1142
44040565,1,1,1,0,0,0,0,1,1142
44040566,1,1,1,0,0,0,0,1,1143
44040567,1,1,1,0,0,0,0,1,666
44040568,0,1,1,0,0,0,0,140000,666
44040569,0,1,1,0,0,0,0,140000,666
44040570,0,1,1,0,0,0,0,140000,0
44040571,0,1,1,3,0,0,0,0,0
44040572,0,1,1,3,0,0,0,0,0
44040573,0,1,1,3,0,0,0,0,2001
44040574,0,1,1,3,0,0,0,0,17040
44040575,0,1,1,3,0,0,0,0,17040
44040576,0,1,1,3,3040,0,0,0,0
44040577,0,1,1,3,3040,0,0,0,6000
44040578,0,1,1,3,0,0,0,0,6000
44040579,0,1,1,3,0,0,0,0,6000
44040580,0,1,1,3,0,0,0,0,6000
44040581,0,1,1,3,0,44035,0,44035,6440
44040582,0,1,1,3,0,44035,0,44035,6440
44040583,0,1,1,3,0,44035,0,44035,6440
44040584,0,1,1,3,0,44035,0,44035,6440
44040585,0,1,1,3,0,0,0,44035,6440
44040586,0,1,1,3,0,0,0,44035,6440
44040587,0,1,1,3,0,0,0,44035,6440
44040588,1,1,1,0,0,0,0,44035,170
44040589,1,1,1,0,0,0,0,0,170
44040590,1,1,1,0,0,0,0,0,0
44040591,1,1,1,0,0,0,0,0,0
44040592,1,1,1,0,0,0,0,0,0
44040593,1,1,1,0,3075,0,0,0,0
44040594,1,1,1,0,3075,0,0,0,0
44040595,1,1,1,0,0,0,0,0,0
44040596,1,1,1,0,0,0,0,0,0
44040597,1,1,1,0,0,0,0,0,0
44040598,1,1,1,0,0,111,0,111,0
44040599,1,1,1,0,0,111,0,111,0
44040600,1,1,1,0,0,111,0,111,0
44040601,1,1,1,0,0,111,0,111,0
44040602,1,1,1,0,0,0,0,111,0
44040603,1,1,1,0,0,0,0,111,0
44040604,1,1,1,0,0,0,0,111,0
44040605,111,1,1,3,0,0,0,111,0
44040606,111,1,1,3,0,0,0,0,0
44040607,111,1,1,3,0,0,0,0,2001
44040608,111,1,1,3,0,0,0,0,17041
44040609,111,1,1,3,0,0,0,0,17041
44040610,111,1,1,3,3041,0,0,0,0
44040611,111,1,1,3,3041,0,0,0,6000
44040612,111,1,1,3,0,0,0,0,6000
44040613,111,1,1,3,0,0,0,0,6000
44040614,111,1,1,3,0,0,0,0,6000
44040615,111,1,1,3,0,50033,0,50033,6500
44040616,111,1,1,3,0,50033,0,50033,6500
44040617,111,1,1,3,0,50033,0,50033,6500
44040618,111,1,1,3,0,50033,0,50033,6500
44040619,111,1,1,3,0,0,0,50033,6500
44040620,111,1,1,3,0,0,0,50033,6500
44040621,111,1,1,3,0,0,0,50033,6500
44040622,1,1,1,0,0,0,111,50033,172
44040623,1,1,1,0,0,0,111,0,172
44040624,1,1,1,0,0,0,111,0,0
44040625,1,1,1,0,0,0,111,0,0
44040626,1,1,1,0,0,0,111,0,0
44040627,1,1,1,0,3074,0,111,0,0
44040628,1,1,1,0,3074,0,111,0,0
44040629,1,1,1,0,0,0,111,0,0
44040630,1,1,1,0,0,0,111,0,0
44040631,1,1,1,0,0,0,111,0,0
44040632,1,1,1,0,0,300,111,300,0
44040633,1,1,1,0,0,300,111,300,0
44040634,1,1,1,0,0,300,111,300,0
44040635,1,1,1,0,0,300,111,300,0
44040636,1,1,1,0,0,0,111,300,0
44040637,1,1,1,0,0,0,111,300,0
44040638,1,1,1,0,0,0,111,300,0
44040639,300,1,1,3,0,0,111,300,0
44040640,300,1,1,3,0,0,111,0,0
44040641,300,1,1,3,0,0,111,0,2001
44040642,300,1,1,3,0,0,111,0,17042
44040643,300,1,1,3,0,0,111,0,17042
44040644,300,1,1,3,3042,0,111,0,0
44040645,300,1,1,3,3042,0,111,0,6000
44040646,300,1,1,3,0,0,111,0,6000
44040647,300,1,1,3,0,0,111,0,6000
44040648,300,1,1,3,0,0,111,0,6000
44040649,300,1,1,3,0,173005,111,173005,7730
44040650,300,1,1,3,0,173005,111,173005,7730
44040651,300,1,1,3,0,173005,111,173005,7730
44040652,300,1,1,3,0,173005,111,173005,7730
44040653,300,1,1,3,0,0,111,173005,7730
44040654,300,1,1,3,0,0,111,173005,7730
44040655,300,1,1,3,0,0,111,173005,7730
44040656,5,1,1,3,0,0,111,173005,0
44040657,5,1,1,3,0,0,111,0,0
44040658,5,1,1,3,0,0,111,0,2001
44040659,5,1,1,3,0,0,111,0,17043
44040660,5,1,1,3,0,0,111,0,17043
44040661,5,1,1,3,3043,0,111,0,0
44040662,5,1,1,3,3043,0,111,0,6000
44040663,5,1,1,3,0,0,111,0,6000
44040664,5,1,1,3,0,0,111,0,6000
44040665,5,1,1,3,0,0,111,0,6000
44040666,5,1,1,3,0,150415,111,150415,7504
44040667,5,1,1,3,0,150415,111,150415,7504
44040668,5,1,1,3,0,150415,111,150415,7504
44040669,5,1,1,3,0,150415,111,150415,7504
44040670,5,1,1,3,0,0,111,150415,7504
44040671,5,1,1,3,0,0,111,150415,7504
44040672,5,1,1,3,0,0,111,150415,7504
44040673,1,1,1,0,0,0,111,150415,657
44040674,1,1,1,0,0,0,111,1,657
44040675,1,1,1,0,0,0,111,1,326
44040676,1,1,1,0,0,0,111,1,326
44040677,1,1,1,0,0,0,111,1,326
44040678,1,1,1,0,0,0,111,1,327
44040679,1,1,1,0,0,0,111,1,327
44040680,1,1,1,0,0,0,111,1,330
44040681,1,1,1,0,0,0,111,1,660
44040682,1,1,1,0,0,0,111,1,660
44040683,1,1,1,0,0,0,111,1,660
44040684,1,1,1,0,0,0,111,1,3655
44040685,44,1,1,0,0,0,111,110044,3655
44040686,44,1,1,0,0,0,111,110044,3655
44040687,44,1,1,0,0,0,111,110044,474
44040688,44,1,1,0,0,0,111,110044,474
44040689,44,1,1,0,0,0,111,110044,474
44040690,44,1,1,0,0,0,111,110044,475
44040691,305,1,1,3,0,0,111,305,475
44040692,305,1,1,3,0,0,111,305,476
44040693,305,1,1,3,0,0,111,305,501
44040694,44,1,1,0,0,0,111,110044,501
44040695,44,1,1,0,0,0,111,110044,501
44040696,44,1,1,0,0,0,111,110044,502
44040697,7,1,1,0,0,0,111,7,502
44040698,7,1,1,0,0,0,111,7,503
44040699,7,1,1,0,0,0,111,7,503
44040700,300,1,1,0,0,0,111,300,503
44040701,300,1,1,0,0,0,111,300,504
44040702,300,1,1,0,0,0,111,300,511
44040703,3,1,1,0,0,0,111,3,511
44040704,3,1,1,0,0,0,111,3,511
44040705,3,1,1,0,0,0,111,3,3725
44040706,141,1,1,0,0,0,111,30141,3725
44040707,141,1,1,0,0,0,111,30141,3725
44040708,141,1,1,0,0,0,111,30141,476
44040709,111,0,1,0,0,0,111,111,476
# MARK wr tick=44040709
44040710,111,0,1,0,0,0,111,111,476
44353020,13,1,1,0,0,0,0,100013,1120
44353021,0,1,1,0,0,0,0,0,1120
44353022,0,1,1,0,0,0,0,0,1120
44353023,0,1,1,0,0,0,0,0,1120
44353024,1,1,1,0,0,0,0,1,1120
44353025,1,1,1,0,0,0,0,1,1120
44353026,1,1,1,0,0,0,0,1,1120
44353027,2,1,1,0,0,0,0,2,1120
44353028,2,1,1,0,0,0,0,2,1120
44353029,2,1,1,0,0,0,0,2,1120
44353030,4,1,1,0,0,0,0,4,1120
44353031,4,1,1,0,0,0,0,4,1120
44353032,4,1,1,0,0,0,0,4,1120
44353033,10,1,1,0,0,0,0,10,1120
44353034,10,1,1,0,0,0,0,10,1120
44353035,10,1,1,0,0,0,0,10,1120
44353036,20,1,1,0,0,0,0,20,1120
44353037,20,1,1,0,0,0,0,20,1120
44353038,20,1,1,0,0,0,0,20,1120
44353039,40,1,1,0,0,0,0,40,1120
44353040,40,1,1,0,0,0,0,40,1120
44353041,40,1,1,0,0,0,0,40,1120
44353042,100,1,1,0,0,0,0,100,1120
44353043,100,1,1,0,0,0,0,100,1120
44353044,100,1,1,0,0,0,0,100,1120
44353045,200,1,1,0,0,0,0,200,1120
44353046,200,1,1,0,0,0,0,200,1120
44353047,200,1,1,0,0,0,0,200,1120
44353048,0,1,1,0,0,0,0,400,1120
44353049,0,1,1,0,0,0,0,400,1120
44353050,0,1,1,0,0,0,0,400,1120
44353051,0,1,1,0,0,0,0,1000,1120
44353052,0,1,1,0,0,0,0,1000,1120
44353053,0,1,1,0,0,0,0,1000,1120
44353054,0,1,1,0,0,0,0,2000,1120
44353055,0,1,1,0,0,0,0,2000,1120
44353056,0,1,1,0,0,0,0,2000,1120
44353057,0,1,1,0,0,0,0,4000,1120
44353058,0,1,1,0,0,0,0,4000,1120
44353059,0,1,1,0,0,0,0,4000,1121
44353060,1,1,1,0,0,0,0,10001,1121
44353061,1,1,1,0,0,0,0,10001,1122
44353062,1,1,1,0,0,0,0,10001,1133
44353063,0,1,1,0,0,0,0,0,1133
44353064,0,1,1,0,0,0,0,0,1133
44353065,0,1,1,0,0,0,0,0,1134
44353066,0,1,1,0,0,0,0,0,1134
44353067,0,1,1,0,0,0,0,0,1135
44353068,0,1,1,0,0,0,0,0,1140
44353069,0,1,1,0,0,0,0,0,1140
44353070,0,1,1,0,0,0,0,0,1140
44353071,0,1,1,0,0,0,0,0,1141
44353072,1,1,1,0,0,0,0,1,1141
44353073,1,1,1,0,0,0,0,1,1142
44353074,1,1,1,0,0,0,0,1,1142
44353075,1,1,1,0,0,0,0,1,1142
44353076,1,1,1,0,0,0,0,1,1143
44353077,1,1,1,0,0,0,0,1,666
44353078,0,1,1,0,0,0,0,140000,666
44353079,0,1,1,0,0,0,0,140000,666
44353080,0,1,1,0,0,0,0,140000,0
44353081,0,1,1,3,0,0,0,0,0
44353082,0,1,1,3,0,0,0,0,0
44353083,0,1,1,3,0,0,0,0,2001
44353084,0,1,1,3,0,0,0,0,17040
44353085,0,1,1,3,0,0,0,0,17040
44353086,0,1,1,3,3040,0,0,0,0
44353087,0,1,1,3,3040,0,0,0,6000
44353088,0,1,1,3,0,0,0,0,6000
44353089,0,1,1,3,0,0,0,0,6000
44353090,0,1,1,3,0,0,0,0,6000
44353091,0,1,1,3,0,44035,0,44035,6440
44353092,0,1,1,3,0,44035,0,44035,6440
44353093,0,1,1,3,0,44035,0,44035,6440
44353094,0,1,1,3,0,44035,0,44035,6440
44353095,0,1,1,3,0,0,0,44035,6440
44353096,0,1,1,3,0,0,0,44035,6440
44353097,0,1,1,3,0,0,0,44035,6440
44353098,1,1,1,0,0,0,0,44035,170
44353099,1,1,1,0,0,0,0,0,170
44353100,1,1,1,0,0,0,0,0,0
44353101,1,1,1,0,0,0,0,0,0
44353102,1,1,1,0,0,0,0,0,0
44353103,1,1,1,0,3075,0,0,0,0
44353104,1,1,1,0,3075,0,0,0,0
44353105,1,1,1,0,0,0,0,0,0
44353106,1,1,1,0,0,0,0,0,0
44353107,1,1,1,0,0,0,0,0,0
44353108,1,1,1,0,0,116,0,116,0
44353109,1,1,1,0,0,116,0,116,0
44353110,1,1,1,0,0,116,0,116,0
44353111,1,1,1,0,0,116,0,116,0
44353112,1,1,1,0,0,0,0,116,0
44353113,1,1,1,0,0,0,0,116,0
44353114,1,1,1,0,0,0,0,116,0
44353115,116,1,1,3,0,0,0,116,0
44353116,116,1,1,3,0,0,0,0,0
44353117,116,1,1,3,0,0,0,0,2001
44353118,116,1,1,3,0,0,0,0,17041
44353119,116,1,1,3,0,0,0,0,17041
44353120,116,1,1,3,3041,0,0,0,0
44353121,116,1,1,3,3041,0,0,0,6000
44353122,116,1,1,3,0,0,0,0,6000
44353123,116,1,1,3,0,0,0,0,6000
44353124,116,1,1,3,0,0,0,0,6000
44353125,116,1,1,3,0,50033,0,50033,6500
44353126,116,1,1,3,0,50033,0,50033,6500
44353127,116,1,1,3,0,50033,0,50033,6500
44353128,116,1,1,3,0,50033,0,50033,6500
44353129,116,1,1,3,0,0,0,50033,6500
44353130,116,1,1,3,0,0,0,50033,6500
44353131,116,1,1,3,0,0,0,50033,6500
44353132,1,1,1,0,0,0,116,50033,172
44353133,1,1,1,0,0,0,116,0,172
44353134,1,1,1,0,0,0,116,0,0
44353135,1,1,1,0,0,0,116,0,0
44353136,1,1,1,0,0,0,116,0,0
44353137,1,1,1,0,3074,0,116,0,0
44353138,1,1,1,0,3074,0,116,0,0
44353139,1,1,1,0,0,0,116,0,0
44353140,1,1,1,0,0,0,116,0,0
44353141,1,1,1,0,0,0,116,0,0
44353142,1,1,1,0,0,300,116,300,0
44353143,1,1,1,0,0,300,116,300,0
44353144,1,1,1,0,0,300,116,300,0
44353145,1,1,1,0,0,300,116,300,0
44353146,1,1,1,0,0,0,116,300,0
44353147,1,1,1,0,0,0,116,300,0
44353148,1,1,1,0,0,0,116,300,0
44353149,300,1,1,3,0,0,116,300,0
44353150,300,1,1,3,0,0,116,0,0
44353151,300,1,1,3,0,0,116,0,2001
44353152,300,1,1,3,0,0,116,0,17042
44353153,300,1,1,3,0,0,116,0,17042
44353154,300,1,1,3,3042,0,116,0,0
44353155,300,1,1,3,3042,0,116,0,6000
44353156,300,1,1,3,0,0,116,0,6000
44353157,300,1,1,3,0,0,116,0,6000
44353158,300,1,1,3,0,0,116,0,6000
44353159,300,1,1,3,0,173005,116,173005,7730
44353160,300,1,1,3,0,173005,116,173005,7730
44353161,300,1,1,3,0,173005,116,173005,7730
44353162,300,1,1,3,0,173005,116,173005,7730
44353163,300,1,1,3,0,0,116,173005,7730
44353164,300,1,1,3,0,0,116,173005,7730
44353165,300,1,1,3,0,0,116,173005,7730
44353166,5,1,1,3,0,0,116,173005,0
44353167,5,1,1,3,0,0,116,0,0
44353168,5,1,1,3,0,0,116,0,2001
44353169,5,1,1,3,0,0,116,0,17043
44353170,5,1,1,3,0,0,116,0,17043
44353171,5,1,1,3,3043,0,116,0,0
44353172,5,1,1,3,3043,0,116,0,6000
44353173,5,1,1,3,0,0,116,0,6000
44353174,5,1,1,3,0,0,116,0,6000
44353175,5,1,1,3,0,0,116,0,6000
44353176,5,1,1,3,0,150415,116,150415,7504
44353177,5,1,1,3,0,150415,116,150415,7504
44353178,5,1,1,3,0,150415,116,150415,7504
44353179,5,1,1,3,0,150415,116,150415,7504
44353180,5,1,1,3,0,0,116,150415,7504
44353181,5,1,1,3,0,0,116,150415,7504
44353182,5,1,1,3,0,0,116,150415,7504
44353183,1,1,1,0,0,0,116,150415,657
44353184,1,1,1,0,0,0,116,1,657
44353185,1,1,1,0,0,0,116,1,326
44353186,1,1,1,0,0,0,116,1,326
44353187,1,1,1,0,0,0,116,1,326
44353188,1,1,1,0,0,0,116,1,327
44353189,1,1,1,0,0,0,116,1,327
44353190,1,1,1,0,0,0,116,1,330
44353191,1,1,1,0,0,0,116,1,660
44353192,1,1,1,0,0,0,116,1,660
44353193,1,1,1,0,0,0,116,1,660
44353194,1,1,1,0,0,0,116,1,3655
44353195,44,1,1,0,0,0,116,110044,3655
44353196,44,1,1,0,0,0,116,110044,3655
44353197,44,1,1,0,0,0,116,110044,474
44353198,44,1,1,0,0,0,116,110044,474
44353199,44,1,1,0,0,0,116,110044,474
44353200,44,1,1,0,0,0,116,110044,475
44353201,305,1,1,3,0,0,116,305,475
44353202,305,1,1,3,0,0,116,305,476
44353203,305,1,1,3,0,0,116,305,501
44353204,44,1,1,0,0,0,116,110044,501
44353205,44,1,1,0,0,0,116,110044,501
44353206,44,1,1,0,0,0,116,110044,502
44353207,7,1,1,0,0,0,116,7,502
44353208,7,1,1,0,0,0,116,7,503
44353209,7,1,1,0,0,0,116,7,503
44353210,300,1,1,0,0,0,116,300,503
44353211,300,1,1,0,0,0,116,300,504
44353212,300,1,1,0,0,0,116,300,511
44353213,3,1,1,0,0,0,116,3,511
44353214,3,1,1,0,0,0,116,3,511
44353215,3,1,1,0,0,0,116,3,3725
44353216,141,1,1,0,0,0,116,30141,3725
44353217,141,1,1,0,0,0,116,30141,3725
44353218,141,1,1,0,0,0,116,30141,476
44353219,116,0,1,0,0,0,116,116,476
# MARK wr tick=44353219
44353220,116,0,1,0,0,0,116,116,476
44650084,13,1,1,0,0,0,0,100013,1120
44650085,0,1,1,0,0,0,0,0,1120
44650086,0,1,1,0,0,0,0,0,1120
44650087,0,1,1,0,0,0,0,0,1120
44650088,1,1,1,0,0,0,0,1,1120
44650089,1,1,1,0,0,0,0,1,1120
44650090,1,1,1,0,0,0,0,1,1120
44650091,2,1,1,0,0,0,0,2,1120
44650092,2,1,1,0,0,0,0,2,1120
44650093,2,1,1,0,0,0,0,2,1120
44650094,4,1,1,0,0,0,0,4,1120
44650095,4,1,1,0,0,0,0,4,1120
44650096,4,1,1,0,0,0,0,4,1120
44650097,10,1,1,0,0,0,0,10,1120
44650098,10,1,1,0,0,0,0,10,1120
44650099,10,1,1,0,0,0,0,10,1120
44650100,20,1,1,0,0,0,0,20,1120
44650101,20,1,1,0,0,0,0,20,1120
44650102,20,1,1,0,0,0,0,20,1120
44650103,40,1,1,0,0,0,0,40,1120
44650104,40,1,1,0,0,0,0,40,1120
44650105,40,1,1,0,0,0,0,40,1120
44650106,100,1,1,0,0,0,0,100,1120
44650107,100,1,1,0,0,0,0,100,1120
44650108,100,1,1,0,0,0,0,100,1120
44650109,200,1,1,0,0,0,0,200,1120
44650110,200,1,1,0,0,0,0,200,1120
44650111,200,1,1,0,0,0,0,200,1120
44650112,0,1,1,0,0,0,0,400,1120
44650113,0,1,1,0,0,0,0,400,1120
44650114,0,1,1,0,0,0,0,400,1120
44650115,0,1,1,0,0,0,0,1000,1120
44650116,0,1,1,0,0,0,0,1000,1120
44650117,0,1,1,0,0,0,0,1000,1120
44650118,0,1,1,0,0,0,0,2000,1120
44650119,0,1,1,0,0,0,0,2000,1120
44650120,0,1,1,0,0,0,0,2000,1120
44650121,0,1,1,0,0,0,0,4000,1120
44650122,0,1,1,0,0,0,0,4000,1120
44650123,0,1,1,0,0,0,0,4000,1121
44650124,1,1,1,0,0,0,0,10001,1121
44650125,1,1,1,0,0,0,0,10001,1122
44650126,1,1,1,0,0,0,0,10001,1133
44650127,0,1,1,0,0,0,0,0,1133
44650128,0,1,1,0,0,0,0,0,1133
44650129,0,1,1,0,0,0,0,0,1134
44650130,0,1,1,0,0,0,0,0,1134
44650131,0,1,1,0,0,0,0,0,1135
44650132,0,1,1,0,0,0,0,0,1140
44650133,0,1,1,0,0,0,0,0,1140
44650134,0,1,1,0,0,0,0,0,1140
44650135,0,1,1,0,0,0,0,0,1141
44650136,1,1,1,0,0,0,0,1,1141
44650137,1,1,1,0,0,0,0,1,1142
44650138,1,1,1,0,0,0,0,1,1142
44650139,1,1,1,0,0,0,0,1,1142
44650140,1,1,1,0,0,0,0,1,1143
44650141,1,1,1,0,0,0,0,1,666
44650142,0,1,1,0,0,0,0,140000,666
44650143,0,1,1,0,0,0,0,140000,666
44650144,0,1,1,0,0,0,0,140000,0
44650145,0,1,1,3,0,0,0,0,0
44650146,0,1,1,3,0,0,0,0,0
44650147,0,1,1,3,0,0,0,0,2001
44650148,0,1,1,3,0,0,0,0,17040
44650149,0,1,1,3,0,0,0,0,17040
44650150,0,1,1,3,3040,0,0,0,0
44650151,0,1,1,3,3040,0,0,0,6000
44650152,0,1,1,3,0,0,0,0,6000
44650153,0,1,1,3,0,0,0,0,6000
44650154,0,1,1,3,0,0,0,0,6000
44650155,0,1,1,3,0,44035,0,44035,6440
44650156,0,1,1,3,0,44035,0,44035,6440
44650157,0,1,1,3,0,44035,0,44035,6440
44650158,0,1,1,3,0,44035,0,44035,6440
44650159,0,1,1,3,0,0,0,44035,6440
44650160,0,1,1,3,0,0,0,44035,6440
44650161,0,1,1,3,0,0,0,44035,6440
44650162,1,1,1,0,0,0,0,44035,170
44650163,1,1,1,0,0,0,0,0,170
44650164,1,1,1,0,0,0,0,0,0
44650165,1,1,1,0,0,0,0,0,0
44650166,1,1,1,0,0,0,0,0,0
44650167,1,1,1,0,3075,0,0,0,0
44650168,1,1,1,0,3075,0,0,0,0
44650169,1,1,1,0,0,0,0,0,0
44650170,1,1,1,0,0,0,0,0,0
44650171,1,1,1,0,0,0,0,0,0
44650172,1,1,1,0,0,123,0,123,0
44650173,1,1,1,0,0,123,0,123,0
44650174,1,1,1,0,0,123,0,123,0
44650175,1,1,1,0,0,123,0,123,0
44650176,1,1,1,0,0,0,0,123,0
44650177,1,1,1,0,0,0,0,123,0
44650178,1,1,1,0,0,0,0,123,0
44650179,123,1,1,3,0,0,0,123,0
44650180,123,1,1,3,0,0,0,0,0
44650181,123,1,1,3,0,0,0,0,2001
44650182,123,1,1,3,0,0,0,0,17041
44650183,123,1,1,3,0,0,0,0,17041
44650184,123,1,1,3,3041,0,0,0,0
44650185,123,1,1,3,3041,0,0,0,6000
44650186,123,1,1,3,0,0,0,0,6000
44650187,123,1,1,3,0,0,0,0,6000
44650188,123,1,1,3,0,0,0,0,6000
44650189,123,1,1,3,0,50033,0,50033,6500
44650190,123,1,1,3,0,50033,0,50033,6500
44650191,123,1,1,3,0,50033,0,50033,6500
44650192,123,1,1,3,0,50033,0,50033,6500
44650193,123,1,1,3,0,0,0,50033,6500
44650194,123,1,1,3,0,0,0,50033,6500
44650195,123,1,1,3,0,0,0,50033,6500
44650196,1,1,1,0,0,0,123,50033,172
44650197,1,1,1,0,0,0,123,0,172
44650198,1,1,1,0,0,0,123,0,0
44650199,1,1,1,0,0,0,123,0,0
44650200,1,1,1,0,0,0,123,0,0
44650201,1,1,1,0,3074,0,123,0,0
44650202,1,1,1,0,3074,0,123,0,0
44650203,1,1,1,0,0,0,123,0,0
44650204,1,1,1,0,0,0,123,0,0
44650205,1,1,1,0,0,0,123,0,0
44650206,1,1,1,0,0,300,123,300,0
44650207,1,1,1,0,0,300,123,300,0
44650208,1,1,1,0,0,300,123,300,0
44650209,1,1,1,0,0,300,123,300,0
44650210,1,1,1,0,0,0,123,300,0
44650211,1,1,1,0,0,0,123,300,0
44650212,1,1,1,0,0,0,123,300,0
44650213,300,1,1,3,0,0,123,300,0
44650214,300,1,1,3,0,0,123,0,0
44650215,300,1,1,3,0,0,123,0,2001
44650216,300,1,1,3,0,0,123,0,17042
44650217,300,1,1,3,0,0,123,0,17042
44650218,300,1,1,3,3042,0,123,0,0
44650219,300,1,1,3,3042,0,123,0,6000
44650220,300,1,1,3,0,0,123,0,6000
44650221,300,1,1,3,0,0,123,0,6000
44650222,300,1,1,3,0,0,123,0,6000
44650223,300,1,1,3,0,173005,123,173005,7730
44650224,300,1,1,3,0,173005,123,173005,7730
44650225,300,1,1,3,0,173005,123,173005,7730
44650226,300,1,1,3,0,173005,123,173005,7730
44650227,300,1,1,3,0,0,123,173005,7730
44650228,300,1,1,3,0,0,123,173005,7730
44650229,300,1,1,3,0,0,123,173005,7730
44650230,5,1,1,3,0,0,123,173005,0
44650231,5,1,1,3,0,0,123,0,0
44650232,5,1,1,3,0,0,123,0,2001
44650233,5,1,1,3,0,0,123,0,17043
44650234,5,1,1,3,0,0,123,0,17043
44650235,5,1,1,3,3043,0,123,0,0
44650236,5,1,1,3,3043,0,123,0,6000
44650237,5,1,1,3,0,0,123,0,6000
44650238,5,1,1,3,0,0,123,0,6000
44650239,5,1,1,3,0,0,123,0,6000
44650240,5,1,1,3,0,150415,123,150415,7504
44650241,5,1,1,3,0,150415,123,150415,7504
44650242,5,1,1,3,0,150415,123,150415,7504
44650243,5,1,1,3,0,150415,123,150415,7504
44650244,5,1,1,3,0,0,123,150415,7504
44650245,5,1,1,3,0,0,123,150415,7504
44650246,5,1,1,3,0,0,123,150415,7504
44650247,1,1,1,0,0,0,123,150415,657
44650248,1,1,1,0,0,0,123,1,657
44650249,1,1,1,0,0,0,123,1,326
44650250,1,1,1,0,0,0,123,1,326
44650251,1,1,1,0,0,0,123,1,326
44650252,1,1,1,0,0,0,123,1,327
44650253,1,1,1,0,0,0,123,1,327
44650254,1,1,1,0,0,0,123,1,330
44650255,1,1,1,0,0,0,123,1,660
44650256,1,1,1,0,0,0,123,1,660
44650257,1,1,1,0,0,0,123,1,660
44650258,1,1,1,0,0,0,123,1,3655
44650259,44,1,1,0,0,0,123,110044,3655
44650260,44,1,1,0,0,0,123,110044,3655
44650261,44,1,1,0,0,0,123,110044,474
44650262,44,1,1,0,0,0,123,110044,474
44650263,44,1,1,0,0,0,123,110044,474
44650264,44,1,1,0,0,0,123,110044,475
44650265,305,1,1,3,0,0,123,305,475
44650266,305,1,1,3,0,0,123,305,476
44650267,305,1,1,3,0,0,123,305,501
44650268,44,1,1,0,0,0,123,110044,501
44650269,44,1,1,0,0,0,123,110044,501
44650270,44,1,1,0,0,0,123,110044,502
44650271,7,1,1,0,0,0,123,7,502
44650272,7,1,1,0,0,0,123,7,503
44650273,7,1,1,0,0,0,123,7,503
44650274,300,1,1,0,0,0,123,300,503
44650275,300,1,1,0,0,0,123,300,504
44650276,300,1,1,0,0,0,123,300,511
44650277,3,1,1,0,0,0,123,3,511
44650278,3,1,1,0,0,0,123,3,511
44650279,3,1,1,0,0,0,123,3,3725
44650280,141,1,1,0,0,0,123,30141,3725
44650281,141,1,1,0,0,0,123,30141,3725
