tick,UART_DIN,UART_CE_n,UART_WR,UART_ADDR,RA,QREG,RB,RX,MEMRD_ADDR,MEMRD_DATA,CD16,CSA_12_0
44040565,1,1,1,0,0,1,7732,7544,0,0,1,1142
44040566,1,1,1,0,0,1,7732,7544,0,0,1,1143
44040567,1,1,1,0,0,1,7732,7544,0,0,1,666
44040568,0,1,1,0,0,1,7732,7544,0,0,140000,666
44040569,0,1,1,0,0,1,7732,7544,0,0,140000,666
44040570,0,1,1,0,0,1,7732,7544,0,0,140000,0
44040571,0,1,1,3,0,1,7732,7544,0,0,0,0
44040572,0,1,1,3,0,1,7732,7544,0,0,0,0
44040573,0,1,1,3,0,1,7732,7544,0,0,0,2001
44040574,0,1,1,3,0,1,7732,7544,0,0,0,17040
44040575,0,1,1,3,0,1,7732,7544,0,0,0,17040
44040576,0,1,1,3,0,1,7732,7544,3040,0,0,0
44040577,0,1,1,3,0,1,7732,7544,3040,0,0,6000
44040578,0,1,1,3,0,1,7732,7544,0,0,0,6000
44040579,0,1,1,3,0,1,7732,7544,0,0,0,6000
44040580,0,1,1,3,0,1,7732,7544,0,0,0,6000
44040581,0,1,1,3,0,1,7732,7544,0,44035,44035,6440
44040582,0,1,1,3,0,1,7732,7544,0,44035,44035,6440
44040583,0,1,1,3,0,1,7732,7544,0,44035,44035,6440
44040584,0,1,1,3,0,1,7732,7544,0,44035,44035,6440
44040585,0,1,1,3,0,1,7732,7544,0,0,44035,6440
44040586,0,1,1,3,0,1,7732,7544,0,0,44035,6440
44040587,0,1,1,3,0,1,7732,7544,0,0,44035,6440
44040588,1,1,1,0,0,1,7732,7544,0,0,44035,170
44040589,1,1,1,0,0,1,7732,7544,0,0,0,170
44040590,1,1,1,0,0,1,7732,7544,0,0,0,0
44040591,1,1,1,0,0,1,7732,7544,0,0,0,0
44040592,1,1,1,0,0,1,7732,7544,0,0,0,0
44040593,1,1,1,0,0,1,7732,7544,3075,0,0,0
44040594,1,1,1,0,0,1,7732,7544,3075,0,0,0
44040595,1,1,1,0,0,1,7732,7544,0,0,0,0
44040596,1,1,1,0,0,1,7732,7544,0,0,0,0
44040597,1,1,1,0,0,1,7732,7544,0,0,0,0
44040598,1,1,1,0,0,1,7732,7544,0,111,111,0
44040599,1,1,1,0,0,1,7732,7544,0,111,111,0
44040600,1,1,1,0,0,1,7732,7544,0,111,111,0
44040601,1,1,1,0,0,1,7732,7544,0,111,111,0
44040602,1,1,1,0,0,1,7732,7544,0,0,111,0
44040603,1,1,1,0,0,1,7732,7544,0,0,111,0
44040604,1,1,1,0,0,1,7732,7544,0,0,111,0
44040605,111,1,1,3,0,1,7732,7544,0,0,111,0
44040606,111,1,1,3,0,1,7732,7544,0,0,0,0
44040607,111,1,1,3,0,1,7732,7544,0,0,0,2001
44040608,111,1,1,3,0,1,7732,7544,0,0,0,17041
44040609,111,1,1,3,0,1,7732,7544,0,0,0,17041
44040610,111,1,1,3,0,1,7732,7544,3041,0,0,0
44040611,111,1,1,3,0,1,7732,7544,3041,0,0,6000
44040612,111,1,1,3,0,1,7732,7544,0,0,0,6000
44040613,111,1,1,3,0,1,7732,7544,0,0,0,6000
44040614,111,1,1,3,0,1,7732,7544,0,0,0,6000
44040615,111,1,1,3,0,1,7732,7544,0,50033,50033,6500
44040616,111,1,1,3,0,1,7732,7544,0,50033,50033,6500
44040617,111,1,1,3,0,1,7732,7544,0,50033,50033,6500
44040618,111,1,1,3,0,1,7732,7544,0,50033,50033,6500
44040619,111,1,1,3,0,1,7732,7544,0,0,50033,6500
44040620,111,1,1,3,0,1,7732,7544,0,0,50033,6500
44040621,111,1,1,3,0,1,7732,7544,0,0,50033,6500
44040622,1,1,1,0,111,1,7732,7544,0,0,50033,172
44040623,1,1,1,0,111,1,7732,7544,0,0,0,172
44040624,1,1,1,0,111,1,7732,7544,0,0,0,0
44040625,1,1,1,0,111,1,7732,7544,0,0,0,0
44040626,1,1,1,0,111,1,7732,7544,0,0,0,0
44040627,1,1,1,0,111,1,7732,7544,3074,0,0,0
44040628,1,1,1,0,111,1,7732,7544,3074,0,0,0
44040629,1,1,1,0,111,1,7732,7544,0,0,0,0
44040630,1,1,1,0,111,1,7732,7544,0,0,0,0
44040631,1,1,1,0,111,1,7732,7544,0,0,0,0
44040632,1,1,1,0,111,1,7732,7544,0,300,300,0
44040633,1,1,1,0,111,1,7732,7544,0,300,300,0
44040634,1,1,1,0,111,1,7732,7544,0,300,300,0
44040635,1,1,1,0,111,1,7732,7544,0,300,300,0
44040636,1,1,1,0,111,1,7732,7544,0,0,300,0
44040637,1,1,1,0,111,1,7732,7544,0,0,300,0
44040638,1,1,1,0,111,1,7732,7544,0,0,300,0
44040639,300,1,1,3,111,1,7732,7544,0,0,300,0
44040640,300,1,1,3,111,1,7732,7544,0,0,0,0
44040641,300,1,1,3,111,1,7732,7544,0,0,0,2001
44040642,300,1,1,3,111,1,7732,7544,0,0,0,17042
44040643,300,1,1,3,111,1,7732,7544,0,0,0,17042
44040644,300,1,1,3,111,1,7732,7544,3042,0,0,0
44040645,300,1,1,3,111,1,7732,7544,3042,0,0,6000
44040646,300,1,1,3,111,1,7732,7544,0,0,0,6000
44040647,300,1,1,3,111,1,7732,7544,0,0,0,6000
44040648,300,1,1,3,111,1,7732,7544,0,0,0,6000
44040649,300,1,1,3,111,1,7732,7544,0,173005,173005,7730
44040650,300,1,1,3,111,1,7732,7544,0,173005,173005,7730
44040651,300,1,1,3,111,1,7732,7544,0,173005,173005,7730
44040652,300,1,1,3,111,1,7732,7544,0,173005,173005,7730
44040653,300,1,1,3,111,1,7732,7544,0,0,173005,7730
44040654,300,1,1,3,111,1,7732,7544,0,0,173005,7730
44040655,300,1,1,3,111,1,7732,7544,0,0,173005,7730
44040656,5,1,1,3,111,1,7732,7544,0,0,173005,0
44040657,5,1,1,3,111,1,7732,7544,0,0,0,0
44040658,5,1,1,3,111,1,7732,7544,0,0,0,2001
44040659,5,1,1,3,111,1,7732,7544,0,0,0,17043
44040660,5,1,1,3,111,1,7732,7544,0,0,0,17043
44040661,5,1,1,3,111,1,7732,7544,3043,0,0,0
44040662,5,1,1,3,111,1,7732,7544,3043,0,0,6000
44040663,5,1,1,3,111,1,7732,7544,0,0,0,6000
44040664,5,1,1,3,111,1,7732,7544,0,0,0,6000
44040665,5,1,1,3,111,1,7732,7544,0,0,0,6000
44040666,5,1,1,3,111,1,7732,7544,0,150415,150415,7504
44040667,5,1,1,3,111,1,7732,7544,0,150415,150415,7504
44040668,5,1,1,3,111,1,7732,7544,0,150415,150415,7504
44040669,5,1,1,3,111,1,7732,7544,0,150415,150415,7504
44040670,5,1,1,3,111,1,7732,7544,0,0,150415,7504
44040671,5,1,1,3,111,1,7732,7544,0,0,150415,7504
44040672,5,1,1,3,111,1,7732,7544,0,0,150415,7504
44040673,1,1,1,0,111,1,7732,7544,0,0,150415,657
44040674,1,1,1,0,111,1,7732,7544,0,0,1,657
44040675,1,1,1,0,111,1,7732,7544,0,0,1,326
44040676,1,1,1,0,111,1,7732,7544,0,0,1,326
44040677,1,1,1,0,111,1,7732,7544,0,0,1,326
44040678,1,1,1,0,111,1,7732,7544,0,0,1,327
44040679,1,1,1,0,111,1,7732,7544,0,0,1,327
44040680,1,1,1,0,111,1,7732,7544,0,0,1,330
44040681,1,1,1,0,111,1,7732,7544,0,0,1,660
44040682,1,1,1,0,111,1,7732,7544,0,0,1,660
44040683,1,1,1,0,111,1,7732,7544,0,0,1,660
44040684,1,1,1,0,111,1,7732,7544,0,0,1,3655
44040685,44,1,1,0,111,1,7732,7544,0,0,110044,3655
44040686,44,1,1,0,111,1,7732,7544,0,0,110044,3655
44040687,44,1,1,0,111,1,7732,7544,0,0,110044,474
44040688,44,1,1,0,111,110044,7732,7544,0,0,110044,474
44040689,44,1,1,0,111,110044,7732,7544,0,0,110044,474
44040690,44,1,1,0,111,110044,7732,7544,0,0,110044,475
44040691,305,1,1,3,111,110044,7732,7544,0,0,305,475
44040692,305,1,1,3,111,110044,7732,7544,0,0,305,476
44040693,305,1,1,3,111,110044,7732,7544,0,0,305,501
44040694,44,1,1,0,111,110044,7732,7544,0,0,110044,501
44040695,44,1,1,0,111,110044,7732,7544,0,0,110044,501
44040696,44,1,1,0,111,110044,7732,7544,0,0,110044,502
44040697,7,1,1,0,111,110044,7732,7544,0,0,7,502
44040698,7,1,1,0,111,110044,7732,7544,0,0,7,503
44040699,7,1,1,0,111,110044,7732,7544,0,0,7,503
44040700,300,1,1,0,111,300,7732,7544,0,0,300,503
44040701,300,1,1,0,111,300,7732,7544,0,0,300,504
44040702,300,1,1,0,111,300,7732,7544,0,0,300,511
44040703,3,1,1,0,111,300,7732,7544,0,0,3,511
44040704,3,1,1,0,111,300,7732,7544,0,0,3,511
44040705,3,1,1,0,111,300,7732,7544,0,0,3,3725
44040706,141,1,1,0,111,304,7732,7544,0,0,30141,3725
44040707,141,1,1,0,111,304,7732,7544,0,0,30141,3725
44040708,141,1,1,0,111,304,7732,7544,0,0,30141,476
44040709,111,0,1,0,111,30141,7732,7544,0,0,111,476
# MARK wr tick=44040709
44040710,111,0,1,0,111,30141,7732,7544,0,0,111,476
44352970,44,1,1,0,0,10044,7732,7544,0,0,10044,326
44352971,44,1,1,0,0,10044,7732,7544,0,0,10044,327
44352972,44,1,1,0,0,10044,7732,7544,0,0,10044,327
44352973,44,1,1,0,0,10044,7732,7544,0,0,10044,330
44352974,44,1,1,0,0,10044,7732,7544,0,0,10044,660
44352975,44,1,1,0,0,10044,7732,7544,0,0,10044,660
44352976,44,1,1,0,0,10044,7732,7544,0,0,10044,660
44352977,44,1,1,0,0,10044,7732,7544,0,0,10044,3642
44352978,44,1,1,0,0,10044,7732,7544,0,0,10044,3642
44352979,44,1,1,0,0,10044,7732,7544,0,0,10044,3642
44352980,44,1,1,0,0,10044,7732,7544,0,0,10044,663
44352981,0,1,1,0,0,10044,7732,7544,0,0,100000,663
44352982,0,1,1,0,0,10044,7732,7544,0,0,100000,663
44352983,0,1,1,0,0,10044,7732,7544,0,0,100000,664
44352984,44,1,1,0,0,110044,7732,7544,0,0,110044,664
44352985,44,1,1,0,0,110044,7732,7544,0,0,110044,665
44352986,44,1,1,0,0,110044,7732,7544,0,0,110044,665
44352987,44,1,1,0,0,110044,7732,7544,0,0,110044,665
44352988,44,1,1,0,0,110044,7732,7544,0,0,110044,666
44352989,44,1,1,0,0,110044,7732,7544,0,0,110044,1112
44352990,45,1,1,0,0,110044,7732,7544,0,0,130045,1112
44352991,45,1,1,0,0,110044,7732,7544,0,0,130045,1112
44352992,45,1,1,0,0,110044,7732,7544,0,0,130045,1113
44352993,45,1,1,0,0,110044,7732,7544,0,0,130045,1113
44352994,45,1,1,0,0,110044,7732,7544,0,0,130045,1113
44352995,45,1,1,0,0,110044,7732,7544,0,0,130045,1113
44352996,45,1,1,0,0,110044,7732,7544,0,0,130045,1113
44352997,45,1,1,0,0,110044,7732,7544,0,0,130045,1113
44352998,44,1,1,0,0,110044,7732,7544,0,0,110044,1113
44352999,44,1,1,0,0,110044,7732,7544,0,0,110044,1114
44353000,44,1,1,0,0,110044,7732,7544,0,0,110044,1114
44353001,10,1,1,0,0,110044,7732,7544,0,0,10,1114
44353002,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44353003,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44353004,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44353005,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44353006,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44353007,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44353008,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44353009,0,1,1,0,0,110044,7732,7544,0,0,0,1115
44353010,0,1,1,0,0,110044,7732,7544,0,0,0,1116
44353011,0,1,1,0,0,110044,7732,7544,0,0,0,1116
44353012,44,1,1,0,0,0,7732,7544,0,0,110044,1116
44353013,44,1,1,0,0,0,7732,7544,0,0,110044,666
44353014,44,1,1,0,0,0,7732,7544,0,0,110044,1117
44353015,1,1,1,0,0,0,7732,7544,0,0,60001,1117
44353016,1,1,1,0,0,0,7732,7544,0,0,60001,1120
44353017,1,1,1,0,0,0,7732,7544,0,0,60001,1120
44353018,13,1,1,0,0,0,7732,7544,0,0,100013,1120
44353019,13,1,1,0,0,0,7732,7544,0,0,100013,1121
44353020,13,1,1,0,0,0,7732,7544,0,0,100013,1120
44353021,0,1,1,0,0,100013,7732,7544,0,0,0,1120
44353022,0,1,1,0,0,100013,7732,7544,0,0,0,1120
44353023,0,1,1,0,0,100013,7732,7544,0,0,0,1120
44353024,1,1,1,0,0,26,7732,7544,0,0,1,1120
44353025,1,1,1,0,0,26,7732,7544,0,0,1,1120
44353026,1,1,1,0,0,26,7732,7544,0,0,1,1120
44353027,2,1,1,0,0,54,7732,7544,0,0,2,1120
44353028,2,1,1,0,0,54,7732,7544,0,0,2,1120
44353029,2,1,1,0,0,54,7732,7544,0,0,2,1120
44353030,4,1,1,0,0,130,7732,7544,0,0,4,1120
44353031,4,1,1,0,0,130,7732,7544,0,0,4,1120
44353032,4,1,1,0,0,130,7732,7544,0,0,4,1120
44353033,10,1,1,0,0,260,7732,7544,0,0,10,1120
44353034,10,1,1,0,0,260,7732,7544,0,0,10,1120
44353035,10,1,1,0,0,260,7732,7544,0,0,10,1120
44353036,20,1,1,0,0,540,7732,7544,0,0,20,1120
44353037,20,1,1,0,0,540,7732,7544,0,0,20,1120
44353038,20,1,1,0,0,540,7732,7544,0,0,20,1120
44353039,40,1,1,0,0,1300,7732,7544,0,0,40,1120
44353040,40,1,1,0,0,1300,7732,7544,0,0,40,1120
44353041,40,1,1,0,0,1300,7732,7544,0,0,40,1120
44353042,100,1,1,0,0,2600,7732,7544,0,0,100,1120
44353043,100,1,1,0,0,2600,7732,7544,0,0,100,1120
44353044,100,1,1,0,0,2600,7732,7544,0,0,100,1120
44353045,200,1,1,0,0,5400,7732,7544,0,0,200,1120
44353046,200,1,1,0,0,5400,7732,7544,0,0,200,1120
44353047,200,1,1,0,0,5400,7732,7544,0,0,200,1120
44353048,0,1,1,0,0,13000,7732,7544,0,0,400,1120
44353049,0,1,1,0,0,13000,7732,7544,0,0,400,1120
44353050,0,1,1,0,0,13000,7732,7544,0,0,400,1120
44353051,0,1,1,0,0,26000,7732,7544,0,0,1000,1120
44353052,0,1,1,0,0,26000,7732,7544,0,0,1000,1120
44353053,0,1,1,0,0,26000,7732,7544,0,0,1000,1120
44353054,0,1,1,0,0,54000,7732,7544,0,0,2000,1120
44353055,0,1,1,0,0,54000,7732,7544,0,0,2000,1120
44353056,0,1,1,0,0,54000,7732,7544,0,0,2000,1120
44353057,0,1,1,0,0,130000,7732,7544,0,0,4000,1120
44353058,0,1,1,0,0,130000,7732,7544,0,0,4000,1120
44353059,0,1,1,0,0,130000,7732,7544,0,0,4000,1121
44353060,1,1,1,0,0,60000,7732,7544,0,0,10001,1121
44353061,1,1,1,0,0,60000,7732,7544,0,0,10001,1122
44353062,1,1,1,0,0,60000,7732,7544,0,0,10001,1133
44353063,0,1,1,0,0,140000,7732,7544,0,0,0,1133
44353064,0,1,1,0,0,140000,7732,7544,0,0,0,1133
44353065,0,1,1,0,0,140000,7732,7544,0,0,0,1134
44353066,0,1,1,0,0,0,7732,7544,0,0,0,1134
44353067,0,1,1,0,0,0,7732,7544,0,0,0,1135
44353068,0,1,1,0,0,0,7732,7544,0,0,0,1140
44353069,0,1,1,0,0,0,7732,7544,0,0,0,1140
44353070,0,1,1,0,0,0,7732,7544,0,0,0,1140
44353071,0,1,1,0,0,0,7732,7544,0,0,0,1141
44353072,1,1,1,0,0,0,7732,7544,0,0,1,1141
44353073,1,1,1,0,0,0,7732,7544,0,0,1,1142
44353074,1,1,1,0,0,0,7732,7544,0,0,1,1142
44353075,1,1,1,0,0,1,7732,7544,0,0,1,1142
44353076,1,1,1,0,0,1,7732,7544,0,0,1,1143
44353077,1,1,1,0,0,1,7732,7544,0,0,1,666
44353078,0,1,1,0,0,1,7732,7544,0,0,140000,666
44353079,0,1,1,0,0,1,7732,7544,0,0,140000,666
44353080,0,1,1,0,0,1,7732,7544,0,0,140000,0
44353081,0,1,1,3,0,1,7732,7544,0,0,0,0
44353082,0,1,1,3,0,1,7732,7544,0,0,0,0
44353083,0,1,1,3,0,1,7732,7544,0,0,0,2001
44353084,0,1,1,3,0,1,7732,7544,0,0,0,17040
44353085,0,1,1,3,0,1,7732,7544,0,0,0,17040
44353086,0,1,1,3,0,1,7732,7544,3040,0,0,0
44353087,0,1,1,3,0,1,7732,7544,3040,0,0,6000
44353088,0,1,1,3,0,1,7732,7544,0,0,0,6000
44353089,0,1,1,3,0,1,7732,7544,0,0,0,6000
44353090,0,1,1,3,0,1,7732,7544,0,0,0,6000
44353091,0,1,1,3,0,1,7732,7544,0,44035,44035,6440
44353092,0,1,1,3,0,1,7732,7544,0,44035,44035,6440
44353093,0,1,1,3,0,1,7732,7544,0,44035,44035,6440
44353094,0,1,1,3,0,1,7732,7544,0,44035,44035,6440
44353095,0,1,1,3,0,1,7732,7544,0,0,44035,6440
44353096,0,1,1,3,0,1,7732,7544,0,0,44035,6440
44353097,0,1,1,3,0,1,7732,7544,0,0,44035,6440
44353098,1,1,1,0,0,1,7732,7544,0,0,44035,170
44353099,1,1,1,0,0,1,7732,7544,0,0,0,170
44353100,1,1,1,0,0,1,7732,7544,0,0,0,0
44353101,1,1,1,0,0,1,7732,7544,0,0,0,0
44353102,1,1,1,0,0,1,7732,7544,0,0,0,0
44353103,1,1,1,0,0,1,7732,7544,3075,0,0,0
44353104,1,1,1,0,0,1,7732,7544,3075,0,0,0
44353105,1,1,1,0,0,1,7732,7544,0,0,0,0
44353106,1,1,1,0,0,1,7732,7544,0,0,0,0
44353107,1,1,1,0,0,1,7732,7544,0,0,0,0
44353108,1,1,1,0,0,1,7732,7544,0,116,116,0
44353109,1,1,1,0,0,1,7732,7544,0,116,116,0
44353110,1,1,1,0,0,1,7732,7544,0,116,116,0
44353111,1,1,1,0,0,1,7732,7544,0,116,116,0
44353112,1,1,1,0,0,1,7732,7544,0,0,116,0
44353113,1,1,1,0,0,1,7732,7544,0,0,116,0
44353114,1,1,1,0,0,1,7732,7544,0,0,116,0
44353115,116,1,1,3,0,1,7732,7544,0,0,116,0
44353116,116,1,1,3,0,1,7732,7544,0,0,0,0
44353117,116,1,1,3,0,1,7732,7544,0,0,0,2001
44353118,116,1,1,3,0,1,7732,7544,0,0,0,17041
44353119,116,1,1,3,0,1,7732,7544,0,0,0,17041
44353120,116,1,1,3,0,1,7732,7544,3041,0,0,0
44353121,116,1,1,3,0,1,7732,7544,3041,0,0,6000
44353122,116,1,1,3,0,1,7732,7544,0,0,0,6000
44353123,116,1,1,3,0,1,7732,7544,0,0,0,6000
44353124,116,1,1,3,0,1,7732,7544,0,0,0,6000
44353125,116,1,1,3,0,1,7732,7544,0,50033,50033,6500
44353126,116,1,1,3,0,1,7732,7544,0,50033,50033,6500
44353127,116,1,1,3,0,1,7732,7544,0,50033,50033,6500
44353128,116,1,1,3,0,1,7732,7544,0,50033,50033,6500
44353129,116,1,1,3,0,1,7732,7544,0,0,50033,6500
44353130,116,1,1,3,0,1,7732,7544,0,0,50033,6500
44353131,116,1,1,3,0,1,7732,7544,0,0,50033,6500
44353132,1,1,1,0,116,1,7732,7544,0,0,50033,172
44353133,1,1,1,0,116,1,7732,7544,0,0,0,172
44353134,1,1,1,0,116,1,7732,7544,0,0,0,0
44353135,1,1,1,0,116,1,7732,7544,0,0,0,0
44353136,1,1,1,0,116,1,7732,7544,0,0,0,0
44353137,1,1,1,0,116,1,7732,7544,3074,0,0,0
44353138,1,1,1,0,116,1,7732,7544,3074,0,0,0
44353139,1,1,1,0,116,1,7732,7544,0,0,0,0
44353140,1,1,1,0,116,1,7732,7544,0,0,0,0
44353141,1,1,1,0,116,1,7732,7544,0,0,0,0
44353142,1,1,1,0,116,1,7732,7544,0,300,300,0
44353143,1,1,1,0,116,1,7732,7544,0,300,300,0
44353144,1,1,1,0,116,1,7732,7544,0,300,300,0
44353145,1,1,1,0,116,1,7732,7544,0,300,300,0
44353146,1,1,1,0,116,1,7732,7544,0,0,300,0
44353147,1,1,1,0,116,1,7732,7544,0,0,300,0
44353148,1,1,1,0,116,1,7732,7544,0,0,300,0
44353149,300,1,1,3,116,1,7732,7544,0,0,300,0
44353150,300,1,1,3,116,1,7732,7544,0,0,0,0
44353151,300,1,1,3,116,1,7732,7544,0,0,0,2001
44353152,300,1,1,3,116,1,7732,7544,0,0,0,17042
44353153,300,1,1,3,116,1,7732,7544,0,0,0,17042
44353154,300,1,1,3,116,1,7732,7544,3042,0,0,0
44353155,300,1,1,3,116,1,7732,7544,3042,0,0,6000
44353156,300,1,1,3,116,1,7732,7544,0,0,0,6000
44353157,300,1,1,3,116,1,7732,7544,0,0,0,6000
