tick,MEMRD_ADDR,MEMRD_DATA,CD16,FIDBO,RA,RT,RD,RB,RX,CSA_12_0
47408290,0,0,51125,1,4,12023,55672,7602,4,4334
47408291,0,0,51125,1,4,12023,55672,7602,4,4334
47408292,0,0,51125,51125,4,12023,55672,7602,4,4334
47408293,0,0,51125,51125,4,12023,55672,7602,4,4334
47408294,0,0,51125,51125,4,12023,55672,7602,4,4333
47408295,0,0,52522,52522,4,12023,55672,7602,4,4333
47408296,0,0,52522,52522,4,12023,55672,7602,4,4333
47408752,0,0,0,1,5,12023,55672,7602,5,4333
47408753,0,0,0,1,5,12023,55672,7602,5,4333
47408754,12025,0,0,1,5,12023,55672,7602,5,4333
# MARK w2 tick=47408754
47408755,12025,0,0,1,5,12023,55672,7602,5,4333
47408756,0,0,0,1,5,12023,55672,7602,5,4333
47408757,0,0,0,1,5,12023,55672,7602,5,4333
47408758,0,0,0,1,5,12023,55672,7602,5,4333
47408759,0,51125,51125,1,5,12023,55672,7602,5,4333
47408760,0,51125,51125,1,5,12023,55672,7602,5,4333
47408761,0,51125,51125,1,5,12023,55672,7602,5,4333
47408762,0,51125,51125,1,5,12023,55672,7602,5,4333
47408763,0,0,51125,1,5,12023,55672,7602,5,4333
47408764,0,0,51125,1,5,12023,55672,7602,5,4333
47408765,0,0,51125,1,5,12023,55672,7602,5,4333
47408766,0,0,51125,51125,5,12023,55672,7602,5,4333
47408767,0,0,51125,51125,5,12023,55672,7602,5,4334
47408768,0,0,51125,51125,5,12023,55672,7602,5,377
47408769,0,0,0,377,5,12023,55672,7602,5,377
47408770,0,0,0,377,5,12023,55672,7602,5,377
47409251,0,0,0,1,5,12023,55672,7602,5,4333
47409252,0,0,0,1,5,12023,55672,7602,5,4333
47409253,12025,0,0,1,5,12023,55672,7602,5,4333
# MARK w2 tick=47409253
47409254,12025,0,0,1,5,12023,55672,7602,5,4333
47409255,0,0,0,1,5,12023,55672,7602,5,4333
47409256,0,0,0,1,5,12023,55672,7602,5,4333
47409257,0,0,0,1,5,12023,55672,7602,5,4333
47409258,0,51125,51125,1,5,12023,55672,7602,5,4333
47409259,0,51125,51125,1,5,12023,55672,7602,5,4333
47409260,0,51125,51125,1,5,12023,55672,7602,5,4333
47409261,0,51125,51125,1,5,12023,55672,7602,5,4333
47409262,0,0,51125,1,5,12023,55672,7602,5,4333
47409263,0,0,51125,1,5,12023,55672,7602,5,4333
47409264,0,0,51125,1,5,12023,55672,7602,5,4333
47409265,0,0,51125,51125,5,12023,55672,7602,5,4333
47409266,0,0,51125,51125,5,12023,55672,7602,5,4334
47409267,0,0,51125,51125,5,12023,55672,7602,5,377
47409268,0,0,0,377,5,12023,55672,7602,5,377
47409269,0,0,0,377,5,12023,55672,7602,5,377
47549279,0,0,0,1,4,12023,117,7654,4,4334
47549280,0,0,0,1,4,12023,117,7654,4,4334
47549281,12025,0,0,1,4,12023,117,7654,4,4334
# MARK w2 tick=47549281
47549282,12025,0,0,1,4,12023,117,7654,4,4334
47549283,0,0,0,1,4,12023,117,7654,4,4334
47549284,0,0,0,1,4,12023,117,7654,4,4334
47549285,0,0,0,1,4,12023,117,7654,4,4334
47549286,0,51125,51125,1,4,12023,117,7654,4,4334
47549287,0,51125,51125,1,4,12023,117,7654,4,4334
47549288,0,51125,51125,1,4,12023,117,7654,4,4334
47549289,0,51125,51125,1,4,12023,117,7654,4,4334
