tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_ADDR,MEMRD_DATA,QREG,DBR
44039001,7461,7563,2,2771,55345,7732,146141,0,0,7732,53410
44039002,7461,7563,2,2771,55345,7732,146141,0,0,7732,53410
44039003,7461,7563,2,2771,55345,7732,146141,0,0,7732,53410
44039004,145,7563,2,2771,55345,7732,146141,0,0,7732,146141
44039005,145,7563,2,2771,55345,7732,0,0,0,7732,146141
44039006,0,7563,2,2771,55345,7732,0,0,0,7732,146141
44039007,17411,7563,2,2771,55345,7732,0,0,0,7732,146141
44039008,17411,7563,2,2771,55345,7732,0,0,0,7732,146141
44039009,0,7563,2,2771,55345,7732,0,53411,0,7732,146141
44039010,6000,7563,2,2771,55345,7732,0,53411,0,7732,146141
44039011,6000,7563,2,2771,55345,7732,0,0,0,7732,146141
44039012,6000,7563,2,2771,55345,7732,0,0,0,7732,146141
44039013,6000,7563,2,2771,55345,7732,0,0,0,7732,146141
44039014,6046,7563,2,2771,55345,7732,4604,0,4604,7732,146141
44039015,6046,7563,2,2771,55345,7732,4604,0,4604,7732,146141
44039016,6046,7563,2,2771,55345,7732,4604,0,4604,7732,146141
44039017,6046,7563,2,2771,55345,7732,4604,0,4604,7732,146141
44039018,6046,7563,2,2771,55345,7732,4604,0,0,7732,146141
44039019,6046,7563,2,2771,55345,7732,4604,0,0,7732,146141
44039020,6046,7563,2,2771,55345,7732,4604,0,0,7732,146141
44039021,145,7563,2,2771,55672,7732,7767,0,0,7732,146141
44039022,145,7563,2,2771,55672,7732,7563,0,0,7732,146141
44039023,0,7563,2,2771,55672,7732,7563,0,0,7732,146141
44039024,0,7563,2,2771,55672,7732,7563,0,0,7732,146141
44039025,0,7563,2,2771,55672,7732,7563,0,0,7732,146141
44039026,0,7563,2,2771,55672,7732,7563,7536,0,7732,146141
44039027,0,7563,2,2771,55672,7732,7563,7536,0,7732,146141
44039028,0,7563,2,2771,55672,7732,7563,0,0,7732,146141
44039029,0,7563,2,2771,55672,7732,7563,7563,0,7732,146141
44039030,0,7563,2,2771,55672,7732,0,7563,0,7732,7563
44039031,0,7563,2,2771,55672,7732,0,7563,0,7732,7563
44039032,2001,7563,2,2771,55672,7732,0,7563,0,7732,7563
44039033,17412,7563,2,2771,55672,7732,0,7563,0,7732,7563
44039034,17412,7563,2,2771,55672,7732,0,7563,0,7732,7563
44039035,0,7563,2,2771,55672,7732,0,7563,0,7732,7563
44039036,0,7563,2,2771,55672,7732,0,0,0,7732,7563
44039037,0,7563,2,2771,55672,7732,0,53412,0,7732,7563
44039038,6000,7563,2,2771,55672,7732,0,53412,0,7732,7563
44039039,6000,7563,2,2771,55672,7732,0,0,0,7732,7563
44039040,6000,7563,2,2771,55672,7732,0,0,0,7732,7563
44039041,6000,7563,2,2771,55672,7732,0,0,0,7732,7563
44039042,6460,7563,2,2771,55672,7732,46000,0,46000,7732,7563
44039043,6460,7563,2,2771,55672,7732,46000,0,46000,7732,7563
44039044,6460,7563,2,2771,55672,7732,46000,0,46000,7732,7563
44039045,6460,7563,2,2771,55672,7732,46000,0,46000,7732,7563
44039046,6460,7563,2,2771,55672,7732,46000,0,0,7732,7563
44039047,6460,7563,2,2771,55672,7732,46000,0,0,7732,7563
44039048,6460,7563,2,2771,55672,7732,46000,0,0,7732,7563
44039049,170,7563,2,2771,55672,7732,46000,0,0,7732,46000
44039050,170,7563,2,2771,55672,7732,0,0,0,7732,46000
44039051,0,7563,2,2771,55672,7732,0,0,0,7732,46000
44039052,0,7563,2,2771,55672,7732,0,0,0,7732,46000
44039053,0,7563,2,2771,55672,7732,0,0,0,7732,46000
44039054,0,7563,2,2771,55672,7732,0,2771,0,7732,46000
44039055,0,7563,2,2771,55672,7732,0,2771,0,7732,46000
44039056,0,7563,2,2771,55672,7732,0,0,0,7732,46000
44039057,0,7563,2,2771,55672,7732,0,0,0,7732,46000
44039058,0,7563,2,2771,55672,7732,0,0,0,7732,46000
44039059,0,7563,2,2771,55672,7732,146147,0,146147,7732,46000
44039060,0,7563,2,2771,55672,7732,146147,0,146147,7732,46000
44039061,0,7563,2,2771,55672,7732,146147,0,146147,7732,46000
44039062,0,7563,2,2771,55672,7732,146147,0,146147,7732,46000
44039063,0,7563,2,2771,55672,7732,146147,0,0,7732,46000
44039064,0,7563,2,2771,55672,7732,146147,0,0,7732,46000
44039065,0,7563,2,2771,55672,7732,146147,0,0,7732,46000
44039066,0,7563,2,2771,55672,7732,146147,0,0,7732,146147
44039067,0,7563,2,2771,55672,7732,0,0,0,7732,146147
44039068,2001,7563,2,2771,55672,7732,0,0,0,7732,146147
44039069,17413,7563,2,2771,55672,7732,0,0,0,7732,146147
44039070,17413,7563,2,2771,55672,7732,0,0,0,7732,146147
44039071,0,7563,2,2771,55672,7732,0,53413,0,7732,146147
44039072,6000,7563,2,2771,55672,7732,0,53413,0,7732,146147
44039073,6000,7563,2,2771,55672,7732,0,0,0,7732,146147
44039074,6000,7563,2,2771,55672,7732,0,0,0,7732,146147
44039075,6000,7563,2,2771,55672,7732,0,0,0,7732,146147
44039076,6650,7563,2,2771,55672,7732,65023,0,65023,7732,146147
44039077,6650,7563,2,2771,55672,7732,65023,0,65023,7732,146147
44039078,6650,7563,2,2771,55672,7732,65023,0,65023,7732,146147
44039079,6650,7563,2,2771,55672,7732,65023,0,65023,7732,146147
44039080,6650,7563,2,2771,55672,7732,65023,0,0,7732,146147
44039081,6650,7563,2,2771,55672,7732,65023,0,0,7732,146147
44039082,6650,7563,2,2771,55672,7732,65023,0,0,7732,146147
44039083,125,146147,2,2771,55672,7732,65023,0,0,7732,65023
44039084,125,146147,2,2771,55672,7732,0,0,0,7732,65023
44039085,200,146147,2,2771,55672,7732,0,0,0,7732,65023
44039086,200,146147,2,2771,55672,7732,0,0,0,7732,65023
44039087,200,146147,2,2771,55672,7732,0,0,0,7732,65023
44039088,200,146147,2,2771,55672,7732,0,53436,0,7732,65023
44039089,200,146147,2,2771,55672,7732,0,53436,0,7732,65023
44039090,200,146147,2,2771,55672,7732,0,0,0,7732,65023
44039091,200,146147,2,2771,55672,7732,0,0,0,7732,65023
44039092,200,146147,2,2771,55672,7732,0,0,0,7732,65023
44039093,200,146147,2,2771,55672,7732,53407,0,53407,7732,65023
44039094,200,146147,2,2771,55672,7732,53407,0,53407,7732,65023
44039095,200,146147,2,2771,55672,7732,53407,0,53407,7732,65023
44039096,200,146147,2,2771,55672,7732,53407,0,53407,7732,65023
44039097,200,146147,2,2771,55672,7732,53407,0,0,7732,65023
44039098,200,146147,2,2771,55672,7732,53407,0,0,7732,65023
