tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,RD,RL,MEMRD_ADDR,MEMRD_DATA,QREG,DBR
45506045,0,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506046,0,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506047,0,125,74,22460,125,74,5,7753,55345,22460,63206,0,51125,63206
45506048,6000,125,74,22460,125,74,5,7753,55345,22460,63206,0,51125,63206
45506049,6000,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506050,6000,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506051,6000,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506052,6546,125,74,22460,125,74,5,7753,55345,22460,0,54601,51125,63206
45506053,6546,125,74,22460,125,74,5,7753,55345,22460,0,54601,51125,63206
45506054,6546,125,74,22460,125,74,5,7753,55345,22460,0,54601,51125,63206
45506055,6546,125,74,22460,125,74,5,7753,55345,22460,0,54601,51125,63206
45506056,6546,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506057,6546,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506058,6546,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506059,174,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,54601
45506060,174,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,54601
45506061,0,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,54601
45506062,0,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,54601
45506063,0,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,54601
45506064,0,125,74,63207,125,74,5,7753,55345,22460,7554,0,51125,54601
45506065,0,125,74,63207,125,74,5,7753,55345,22460,7554,0,51125,54601
45506066,0,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,54601
45506067,0,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,54601
45506068,0,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,54601
45506069,0,125,74,63207,125,74,5,7753,55345,22460,0,7732,51125,54601
45506070,0,125,74,63207,125,74,5,7753,55345,22460,0,7732,51125,54601
45506071,0,125,74,63207,125,74,5,7753,55345,22460,0,7732,51125,54601
45506072,0,125,74,63207,125,74,5,7753,55345,22460,0,7732,51125,54601
45506073,0,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,54601
45506074,0,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,54601
45506075,0,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,54601
45506076,0,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,7732
45506077,0,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,7732
45506078,2001,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,7732
45506079,17207,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,7732
45506080,17207,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,7732
45506081,0,125,74,63207,125,74,5,7753,55345,22460,63207,0,51125,7732
45506082,6000,125,74,63207,125,74,5,7753,55345,22460,63207,0,51125,7732
45506083,6000,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,7732
45506084,6000,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,7732
45506085,6000,125,74,63207,125,74,5,7753,55345,22460,0,0,51125,7732
45506086,7440,125,74,63207,125,74,5,7753,55345,22460,0,144037,51125,7732
45506087,7440,125,74,63207,125,74,5,7753,55345,22460,0,144037,51125,7732
