tick,MEMRD_ADDR,MEMRD_DATA,RAM_IDX,RAM_Q,CSA_12_0,s_maclk,BDRY
45210127,0,0,12005,400400,17504,0,0
45210128,55504,0,12005,400400,0,0,0
45210129,55504,0,12005,400400,6000,1,0
45210130,0,0,12026,400400,6000,1,0
# MARK ram tick=45210130
45210131,0,0,54026,400400,6000,1,0
45210132,0,0,55504,400400,6000,1,0
45210133,0,131451,55504,263051,7314,1,0
45210134,0,131451,55504,263051,7314,1,0
45210135,0,131451,55504,263051,7314,1,0
45210136,0,131451,54000,263051,7314,1,0
45243502,0,0,20010,705200,4341,1,0
45243503,0,0,20010,705200,4341,0,0
45243504,0,0,20010,705200,4345,0,0
45243505,0,0,20010,705200,4345,0,0
45243506,0,0,20010,705200,4345,0,0
45243507,12025,0,20010,705200,4345,0,0
# MARK addr tick=45243507
45243508,12025,0,20010,705200,4345,0,0
45243509,0,0,20005,705200,4345,0,0
45243510,0,0,12005,705200,4345,0,0
45243511,0,0,12025,705200,4345,0,0
# MARK ram tick=45243511
45243512,0,0,12025,400400,4345,0,0
45243513,0,0,12025,400400,4345,0,0
45243514,0,0,12025,400400,4345,0,0
45243515,0,0,12000,400400,4345,0,0
45243516,0,0,12005,400400,4345,0,0
45243517,0,0,12005,400400,4345,0,0
45243534,0,0,12005,400400,145,1,0
45243535,0,0,12005,400400,145,0,0
45243536,0,0,12005,400400,0,0,0
45243537,0,0,12005,400400,0,0,0
45243538,0,0,12005,400400,0,0,0
45243539,12025,0,12005,400400,0,0,0
# MARK addr tick=45243539
45243540,12025,0,12005,400400,0,0,0
45243541,0,0,12005,400400,0,0,0
45243542,51000,0,12005,400400,0,0,0
45243543,51000,0,12025,400400,0,1,0
# MARK ram tick=45243543
45243544,51000,0,12025,400400,0,0,0
45243545,51000,0,12025,400400,2001,0,0
45243546,51000,0,12025,400400,16166,0,0
45243547,51000,0,12000,400400,16166,0,0
45243548,51000,0,12005,400400,0,0,0
45243549,0,0,12005,400400,0,0,0
45504058,0,0,22011,705200,4341,1,0
45504059,0,0,22011,705200,4341,0,0
45504060,0,0,22011,705200,4342,0,0
45504061,0,0,22011,705200,4342,0,0
45504062,0,0,22011,705200,4342,0,0
45504063,5254,0,22011,705200,4342,0,0
# MARK addr tick=45504063
45504064,5254,0,22011,705200,4342,0,0
45504065,0,0,22002,705200,4342,0,0
45504066,0,0,4002,705200,4342,0,0
45504067,0,0,5254,705200,4342,0,0
# MARK ram tick=45504067
45504068,0,51000,5254,122400,4342,0,0
45504069,0,51000,5254,122400,4342,0,0
45504070,0,51000,5254,122400,4342,0,0
45504071,0,51000,4000,122400,4342,0,0
45504072,0,0,4002,122400,4342,0,0
45504073,0,0,4002,122400,4342,0,0
45504084,0,0,4002,122400,145,1,0
45504085,0,0,4002,122400,145,0,0
45504086,0,0,4002,122400,0,0,0
45504087,0,0,4002,122400,0,0,0
45504088,0,0,4002,122400,0,0,0
45504089,5254,0,4002,122400,0,0,0
# MARK addr tick=45504089
45504090,5254,0,4002,122400,0,0,0
45504091,0,0,4002,122400,0,0,0
45504092,51125,0,4002,122400,0,0,0
45504093,51125,0,5254,122400,0,1,0
# MARK ram tick=45504093
45504094,51125,0,5254,122400,0,0,0
45504095,51125,0,5254,122400,2001,0,0
45504096,51125,0,5254,122400,16423,0,0
45504097,51125,0,4000,122400,16423,0,0
45504098,51125,0,4002,122400,0,0,0
