tick,CSA,AREG,TREG,RP,RX,RB,CD16,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.s_alu_IDB_15_0_OUT,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.s_idbctl_IDB_15_0_OUT,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.s_FIDBO_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0
71250494,6000,15,177776,56237,7515,7672,0,0,0,55714,55575,0,0,0,0
71250495,7461,15,177776,56237,7515,7672,146147,0,146147,55714,55575,0,0,0,0
71250496,7461,15,177776,56237,7515,7672,146147,0,146147,55714,55575,0,0,0,0
71250497,7461,15,177776,56237,7515,7672,146147,0,146147,55714,55575,0,0,0,0
71250498,7461,15,177776,56237,7515,7672,146147,0,146147,55714,55575,0,0,0,0
71250499,7461,15,177776,56237,7515,7672,146147,0,0,55714,55575,0,0,0,0
71250500,7461,15,177776,56237,7515,7672,146147,0,0,55714,55575,0,0,0,0
71250501,7461,15,177776,56237,7515,7672,146147,0,0,55714,55575,0,0,0,0
71250502,145,15,177776,55576,7515,7672,146147,0,0,55714,146147,56237,0,56237,0
71250503,145,15,177776,55576,7515,7672,0,0,0,55714,146147,56237,0,56237,0
71250504,0,15,177776,55576,7515,7672,0,0,0,55714,146147,56237,0,56237,0
71250505,17576,15,177776,55576,7515,7672,0,0,0,55714,146147,56237,0,56237,0
71250506,17576,15,177776,55576,7515,7672,0,0,0,55714,146147,56237,0,56237,0
71250507,0,15,177776,55576,7515,7672,0,55576,0,55714,146147,56237,0,56237,0
71250508,6000,15,177776,55576,7515,7672,0,55576,0,55714,146147,56237,0,56237,0
71250509,6000,15,177776,55576,7515,7672,0,0,0,55714,146147,56237,0,56237,0
71250510,6000,15,177776,55576,7515,7672,0,0,0,55714,146147,56237,0,56237,0
71250511,6000,15,177776,55576,7515,7672,0,0,0,55714,146147,56237,0,56237,0
71250512,6146,15,177776,55576,7515,7672,14610,0,14610,55714,146147,56237,0,56237,0
71250513,6146,15,177776,55576,7515,7672,14610,0,14610,55714,146147,56237,0,56237,0
71250514,6146,15,177776,55576,7515,7672,14610,0,14610,55714,146147,56237,0,56237,0
71250515,6146,15,177776,55576,7515,7672,14610,0,14610,55714,146147,56237,0,56237,0
71250516,6146,15,177776,55576,7515,7672,14610,0,0,55714,146147,56237,0,56237,0
71250517,6146,15,177776,55576,7515,7672,14610,0,0,55714,146147,56237,0,56237,0
71250518,6146,15,177776,55576,7515,7672,14610,0,0,55714,146147,56237,0,56237,0
71250519,145,15,177776,55577,56237,7672,56637,0,0,55714,146147,56237,0,56237,0
71250520,145,15,177776,55577,56237,7672,56237,0,0,55714,146147,56237,0,56237,0
71250521,0,15,177776,55577,56237,7672,56237,0,0,55714,146147,56237,0,56237,0
71250522,0,15,177776,55577,56237,7672,56237,0,0,55714,146147,56237,0,56237,0
71250523,0,15,177776,55577,56237,7672,56237,0,0,55714,146147,56237,0,56237,0
71250524,0,15,177776,55577,56237,7672,56237,7502,0,55714,146147,56237,0,56237,0
71250525,0,15,177776,55577,56237,7672,56237,7502,0,55714,146147,56237,0,56237,0
71250526,0,15,177776,55577,56237,7672,56237,0,0,55714,146147,56237,0,56237,0
71250527,0,15,177776,55577,56237,7672,56237,56237,0,55714,146147,56237,0,56237,0
71250528,0,15,177776,55577,56237,7672,0,56237,0,55714,56237,0,0,0,0
71250529,0,15,177776,55577,56237,7672,0,56237,0,55714,56237,0,0,0,4
71250530,2001,15,177776,55577,56237,7672,0,56237,0,55714,56237,0,0,0,0
71250531,17577,15,177776,55577,56237,7672,0,56237,0,55714,56237,0,0,0,0
71250532,17577,15,177776,55577,56237,7672,0,56237,0,55714,56237,0,0,0,0
71250533,0,15,177776,55577,56237,7672,0,56237,0,55714,56237,0,0,0,0
71250534,0,15,177776,55577,56237,7672,0,0,0,55714,56237,0,0,0,0
71250535,0,15,177776,55577,56237,7672,0,55577,0,55714,56237,0,0,0,0
71250536,6000,15,177776,55577,56237,7672,0,55577,0,55714,56237,0,0,0,0
71250537,6000,15,177776,55577,56237,7672,0,0,0,55714,56237,0,0,0,0
71250538,6000,15,177776,55577,56237,7672,0,0,0,55714,56237,0,0,0,0
71250539,6000,15,177776,55577,56237,7672,0,0,0,55714,56237,0,0,0,0
71250540,6046,15,177776,55577,56237,7672,4612,0,4612,55714,56237,0,0,0,0
71250541,6046,15,177776,55577,56237,7672,4612,0,4612,55714,56237,0,0,0,0
71250542,6046,15,177776,55577,56237,7672,4612,0,4612,55714,56237,0,0,0,0
71250543,6046,15,177776,55577,56237,7672,4612,0,4612,55714,56237,0,0,0,0
71250544,6046,15,177776,55577,56237,7672,4612,0,0,55714,56237,0,0,0,0
71250545,6046,15,177776,55577,56237,7672,4612,0,0,55714,56237,0,0,0,0
71250546,6046,15,177776,55577,56237,7672,4612,0,0,55714,56237,0,0,0,0
71250547,145,15,177776,55600,56237,7672,4617,0,0,55714,4612,15,0,15,0
71250548,145,15,177776,55600,56237,7672,15,0,0,55714,4612,15,0,15,0
71250549,0,15,177776,55600,56237,7672,15,0,0,55714,4612,15,0,15,0
71250550,0,15,177776,55600,56237,7672,15,0,0,55714,4612,15,0,15,0
71250551,0,15,177776,55600,56237,7672,15,0,0,55714,4612,15,0,15,0
71250552,0,15,177776,55600,56237,7672,15,7504,0,55714,4612,15,0,15,0
71250553,0,15,177776,55600,56237,7672,15,7504,0,55714,4612,15,0,15,0
71250554,0,15,177776,55600,56237,7672,15,0,0,55714,4612,15,0,15,0
71250555,0,15,177776,55600,56237,7672,15,15,0,55714,4612,15,0,15,0
71250556,0,15,177776,55600,56237,7672,0,15,0,55714,15,0,0,0,0
# MARK fill tick=71250556
71250557,0,15,177776,55600,56237,7672,0,15,0,55714,15,0,0,0,4
71250558,2001,15,177776,55600,56237,7672,0,15,0,55714,15,0,0,0,0
71250559,17600,15,177776,55600,56237,7672,0,15,0,55714,15,0,0,0,0
71250560,17600,15,177776,55600,56237,7672,0,15,0,55714,15,0,0,0,0
71250561,0,15,177776,55600,56237,7672,0,15,0,55714,15,0,0,0,0
71250562,0,15,177776,55600,56237,7672,0,0,0,55714,15,0,0,0,0
71250563,0,15,177776,55600,56237,7672,0,55600,0,55714,15,0,0,0,0
71250564,6000,15,177776,55600,56237,7672,0,55600,0,55714,15,0,0,0,0
71281720,16151,1206,1206,56151,7515,7672,0,0,0,116400,171377,177777,0,177777,0
71281721,16151,1206,1206,56151,7515,7672,0,0,0,116400,171377,177777,0,177777,0
71281722,0,1206,1206,56151,7515,7672,0,56151,0,116400,171377,177777,0,177777,0
71281723,6000,1206,1206,56151,7515,7672,0,56151,0,116400,171377,177777,0,177777,0
71281724,6000,1206,1206,56151,7515,7672,0,0,0,116400,171377,177777,0,177777,0
71281725,6000,1206,1206,56151,7515,7672,0,0,0,116400,171377,177777,0,177777,0
71281726,6000,1206,1206,56151,7515,7672,0,0,0,116400,171377,177777,0,177777,0
71281727,7400,1206,1206,56151,7515,7672,140065,0,140065,116400,171377,177777,0,177777,0
71281728,7400,1206,1206,56151,7515,7672,140065,0,140065,116400,171377,177777,0,177777,0
71281729,7400,1206,1206,56151,7515,7672,140065,0,140065,116400,171377,177777,0,177777,0
71281730,7400,1206,1206,56151,7515,7672,140065,0,140065,116400,171377,177777,0,177777,0
71281731,7400,1206,1206,56151,7515,7672,140065,0,0,116400,171377,177777,0,177777,0
71281732,7400,1206,1206,56151,7515,7672,140065,0,0,116400,171377,177777,0,177777,0
71281733,7400,1206,1206,56151,7515,7672,140065,0,0,116400,171377,177777,0,177777,0
71281734,215,1206,177777,56152,7515,7672,140065,0,0,116400,140065,1207,0,1207,0
71281735,215,1206,177777,56152,7515,7672,0,0,0,116400,140065,1207,0,1207,0
