tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_DATA,RAM_IDX,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN
47375233,6046,300,1206,55656,55672,7671,4614,0,54026,116400,151000,22220,0,0,0,177777,0,110044,1,400400
47375234,6046,300,1206,55656,55672,7671,4614,0,54026,116400,151000,22220,0,0,0,177777,0,110044,0,400400
47375235,145,300,1206,55656,55672,7671,4714,0,54026,116400,4614,0,50145,0,300,177477,0,300,0,400400
47375236,145,300,1206,55656,55672,7671,300,0,54026,116400,4614,0,50145,0,300,177477,0,300,0,400400
47375237,0,300,1206,55656,55672,7671,300,0,54026,116400,4614,0,50145,0,300,177477,0,300,0,400400
47375238,0,300,1206,55656,55672,7671,300,0,54026,116400,4614,0,50145,0,300,177477,0,300,0,400400
47375239,0,300,1206,55656,55672,7671,300,0,54026,116400,4614,0,50145,0,300,177477,0,300,0,400400
47375240,0,300,1206,55656,55672,7671,300,0,54026,116400,4614,0,50145,0,300,177477,0,300,0,417105
47375241,0,300,1206,55656,55672,7671,300,0,54026,116400,4614,0,50145,0,300,177477,0,300,0,417105
47375242,0,300,1206,55656,55672,7671,300,0,54003,116400,4614,0,50145,0,300,177477,0,300,0,400400
47375243,0,300,1206,55656,55672,7671,300,0,6003,116400,4614,0,50145,0,300,177477,0,300,0,400700
47375244,0,300,1206,55656,55672,7671,0,0,7505,116400,300,140000,0,0,0,177777,0,0,0,400700
# MARK fill tick=47375244
47375245,0,300,1206,55656,55672,7671,0,0,7505,116400,300,140000,0,4,0,177777,0,0,0,400700
47375246,2001,300,1206,55656,55672,7671,0,0,7505,116400,300,140000,0,0,0,177777,0,0,0,400700
47375247,17657,300,1206,55656,55672,7671,0,0,7505,116400,300,140000,0,0,0,177777,0,0,0,400700
47375248,17657,300,1206,55656,55672,7671,0,0,6000,116400,300,140000,0,0,0,177777,0,0,0,400700
47375249,0,300,1206,55656,55672,7671,0,0,6003,116400,300,140000,0,0,0,177777,0,0,0,400700
47375250,0,300,1206,55656,55672,7671,0,0,6003,116400,300,140000,0,0,0,177777,0,0,0,400400
47375251,0,300,1206,55656,55672,7671,0,0,6003,116400,300,140000,0,0,0,177777,0,0,0,400
47375252,6000,300,1206,55656,55672,7671,0,0,6003,116400,300,140000,0,0,0,177777,0,0,0,400
47432812,1156,177777,0,14435,5145,1147,12075,0,2001,116400,151000,16431,0,5,12075,165702,12075,110000,0,400400
47432813,1156,177777,12075,14435,5145,1147,0,0,2001,116400,151000,36424,0,5,0,177777,0,110000,0,400400
47432814,1156,177777,12075,14435,5145,1147,0,0,2001,116400,151000,36424,0,5,0,177777,0,110000,0,400400
47432815,1156,177777,12075,14435,5145,1147,0,0,2001,116400,151000,36424,0,5,0,177777,0,110000,0,400400
47432816,1156,0,12075,14435,5145,1147,14347,0,2001,116400,151000,0,0,5,14347,163430,14347,110000,0,400400
47432817,1156,0,12075,14435,5145,1147,14347,0,2001,116400,151000,0,0,5,14347,163430,14347,110000,0,400400
