tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,RD,RL,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN,RAM_IDX
71247654,2001,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247655,16522,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247656,16522,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247657,0,177777,116400,2522,177777,116400,15,1147,12532,2454,2522,0,20000,3,0,400000,2001
71247658,6000,177777,116400,2522,177777,116400,15,1147,12532,2454,2522,0,20000,3,0,400000,2001
71247659,6000,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,1,0,2001
71247660,6000,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,1,0,2001
71247661,6000,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,1,0,2522
71247662,7461,177777,116400,2522,177777,116400,15,1147,12532,2454,0,146142,20000,3,1,0,2522
71247663,7461,177777,116400,2522,177777,116400,15,1147,12532,2454,0,146142,20000,3,1,0,2522
71247664,7461,177777,116400,2522,177777,116400,15,1147,12532,2454,0,146142,20000,3,1,0,2522
71247665,7461,177777,116400,2522,177777,116400,15,1147,12532,2454,0,146142,20000,3,1,0,2000
71247666,7461,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,1,400400,2001
71247667,7461,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,1,400400,2001
71247668,7461,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247669,145,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,146142,0,400400,2001
71247670,145,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,146142,0,400400,2001
71247671,0,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,146142,0,400400,2001
71247672,16523,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,146142,0,400400,2001
71247673,16523,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,146142,0,400400,2001
71247674,0,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,146142,0,400400,2001
71247675,0,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,146142,0,400400,2001
71247676,0,177777,116400,2454,177777,116400,15,1147,12532,2454,0,0,20000,0,0,400400,2001
71247677,0,177777,116400,2454,177777,116400,15,1147,12532,2454,0,0,20000,0,0,400400,2001
71247678,2001,177777,116400,2454,177777,116400,15,1147,12532,2454,0,0,20000,0,0,400400,2001
71247679,16454,177777,116400,2454,177777,116400,15,1147,12532,2454,0,0,20000,0,0,400400,2001
71247680,16454,177777,116400,2454,177777,116400,15,1147,12532,2454,0,0,20000,0,0,400400,2001
71247681,0,177777,116400,2454,177777,116400,15,1147,12532,2454,2454,0,20000,0,0,400000,2001
71247682,6000,177777,116400,2454,177777,116400,15,1147,12532,2454,2454,0,20000,0,0,400000,2001
71247683,6000,177777,116400,2454,177777,116400,15,1147,12532,2454,0,0,20000,0,1,0,2001
71247684,6000,177777,116400,2454,177777,116400,15,1147,12532,2454,0,0,20000,0,1,0,2001
71247685,6000,177777,116400,2454,177777,116400,15,1147,12532,2454,0,0,20000,0,1,0,2454
71247686,7304,177777,116400,2454,177777,116400,15,1147,12532,2454,0,130403,20000,0,1,0,2454
71247687,7304,177777,116400,2454,177777,116400,15,1147,12532,2454,0,130403,20000,0,1,0,2454
71247688,7304,177777,116400,2454,177777,116400,15,1147,12532,2454,0,130403,20000,0,1,0,2454
71247689,7304,177777,116400,2454,177777,116400,15,1147,12532,2454,0,130403,20000,0,1,0,2000
71247690,7304,177777,116400,2454,177777,116400,15,1147,12532,2454,0,0,20000,0,1,400400,2001
71247691,7304,177777,116400,2454,177777,116400,15,1147,12532,2454,0,0,20000,0,1,400400,2001
71247692,7304,177777,116400,2454,177777,116400,15,1147,12532,2454,0,0,20000,0,0,400400,2001
71247693,214,177777,116400,2455,177777,116400,15,1147,12532,2454,0,0,20000,130403,0,400400,2001
71247694,214,177777,116400,2455,177777,116400,15,1147,12532,2454,0,0,20000,130403,0,400400,2001
71247695,0,177777,116400,2455,177777,116400,15,1147,12532,2454,0,0,20000,130403,0,400400,2001
71247696,16457,177777,116400,2455,177777,116400,15,1147,12532,2454,0,0,20000,130403,0,400400,2001
71247697,16457,177777,116400,2455,177777,116400,15,1147,12532,2454,0,0,20000,130403,0,400400,2001
71247698,0,177777,116400,2455,177777,116400,15,1147,12532,2454,2457,0,20000,130403,0,400000,2001
71247699,6000,177777,116400,2455,177777,116400,15,1147,12532,2454,2457,0,20000,130403,0,400000,2001
71247700,6000,177777,116400,2455,177777,116400,15,1147,12532,2454,0,0,20000,130403,1,0,2001
71247701,6000,177777,116400,2455,177777,116400,15,1147,12532,2454,0,0,20000,130403,1,0,2001
71247702,6000,177777,116400,2455,177777,116400,15,1147,12532,2454,0,0,20000,130403,1,0,2457
71247703,6510,177777,116400,2455,177777,116400,15,1147,12532,2454,0,51012,20000,130403,1,0,2457
71247704,6510,177777,116400,2455,177777,116400,15,1147,12532,2454,0,51012,20000,130403,1,0,2457
71247705,6510,177777,116400,2455,177777,116400,15,1147,12532,2454,0,51012,20000,130403,1,0,2457
71247706,6510,177777,116400,2455,177777,116400,15,1147,12532,2454,0,51012,20000,130403,1,0,2000
71247707,6510,177777,116400,2455,177777,116400,15,1147,12532,2454,0,0,20000,130403,1,400400,2001
71247708,6510,177777,116400,2455,177777,116400,15,1147,12532,2454,0,0,20000,130403,1,400400,2001
71247709,6510,177777,116400,2455,177777,116400,15,1147,12532,2454,0,0,20000,130403,0,400400,2001
71247710,117,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,51012,0,400400,2001
71247711,117,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,51012,0,400400,2001
71247712,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,51012,0,400400,2001
71247713,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,51012,0,400400,2001
71247714,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,51012,0,400400,2001
71247715,172,177777,116400,2460,177777,116400,15,1147,12532,2454,2471,0,20000,51012,0,400400,2001
71247716,172,177777,116400,2460,177777,116400,15,1147,12532,2454,2471,0,20000,51012,0,400400,2001
71247717,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,51012,1,0,2001
71247718,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,51012,1,0,2001
71247719,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,51012,1,0,2471
71247720,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,65567,20000,51012,1,0,2471
71247721,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,65567,20000,51012,1,0,2471
71247722,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,65567,20000,51012,1,0,2471
