tick,CSA,AREG,TREG,RX,CD16,FIDBO,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0
68391540,0,376,66661,376,0,377,14310,0,71157,67562,67562,377,0,157,177400,377,0
68391541,6000,376,66661,376,0,377,14310,0,71157,67562,67562,377,0,157,177400,377,0
68391542,6000,376,66661,376,0,377,0,0,71157,67562,67562,377,0,157,177400,377,0
68391543,6000,376,66661,376,0,377,0,0,71157,67562,67562,377,0,157,177400,377,0
68391544,6000,376,66661,376,0,377,0,0,71157,67562,67562,377,0,157,177400,377,0
68391545,7710,376,66661,376,171047,377,0,171047,71157,67562,67562,377,0,157,177400,377,0
68391546,7710,376,66661,376,171047,377,0,171047,71157,67562,67562,377,22,157,177400,377,0
68391547,7710,376,66661,376,171047,377,0,171047,71157,67562,67562,377,22,157,177400,377,0
68391548,7710,376,66661,376,171047,377,0,171047,71157,67562,67562,377,22,157,177400,377,0
68391549,7710,376,66661,376,171047,377,0,0,71157,67562,67562,377,22,157,177400,377,0
68391550,7710,376,66661,376,171047,377,0,0,71157,67562,67562,377,22,157,177400,377,0
68391551,7710,376,66661,376,171047,377,0,0,71157,67562,67562,377,22,157,177400,377,0
68391552,0,157,66661,376,171047,47,0,0,71157,171047,177400,0,22,47,177730,47,0
68391553,0,157,66661,376,0,47,0,0,71157,171047,177400,0,4,47,177730,47,0
68391554,2001,157,66661,376,0,47,0,0,71157,171047,177400,0,0,47,177730,47,0
68391555,16311,157,66661,376,0,47,0,0,71157,171047,177400,0,0,47,177730,47,0
68391556,16311,157,66661,376,0,47,0,0,71157,171047,177400,0,0,47,177730,47,0
68391557,0,157,66661,376,0,47,14311,0,71157,171047,177400,0,0,47,177730,47,0
68391558,6000,157,66661,376,0,47,14311,0,71157,171047,177400,0,0,47,177730,47,0
68391559,6000,157,66661,376,0,47,0,0,71157,171047,177400,0,0,47,177730,47,0
68391560,6000,157,66661,376,0,47,0,0,71157,171047,177400,0,0,47,177730,47,0
68391561,6000,157,66661,376,0,47,0,0,71157,171047,177400,0,0,47,177730,47,0
68391562,7420,157,66661,376,142065,47,0,142065,71157,171047,177400,0,0,47,177730,47,0
68391563,7420,157,66661,376,142065,47,0,142065,71157,171047,177400,0,0,47,177730,47,0
68391564,7420,157,66661,376,142065,47,0,142065,71157,171047,177400,0,0,47,177730,47,0
68391565,7420,157,66661,376,142065,47,0,142065,71157,171047,177400,0,0,47,177730,47,0
68391566,7420,157,66661,376,142065,47,0,0,71157,171047,177400,0,0,47,177730,47,0
68391567,7420,157,66661,376,142065,47,0,0,71157,171047,177400,0,0,47,177730,47,0
68391568,7420,157,66661,376,142065,47,0,0,71157,171047,177400,0,0,47,177730,47,0
68391569,215,157,47,376,142065,110,0,0,71157,142065,23400,215,0,110,177667,0,47
68391570,215,157,47,376,0,110,0,0,71157,142065,23400,215,0,110,177667,0,47
68391571,0,157,47,376,0,110,0,0,71157,142065,23400,215,0,110,177667,0,47
68391572,16312,157,47,376,0,110,0,0,71157,142065,23400,215,0,110,177667,0,47
68391573,16312,157,47,376,0,110,0,0,71157,142065,23400,215,0,110,177667,0,47
68391574,0,157,47,376,0,110,0,0,71157,142065,23400,215,0,110,177667,0,47
68391575,0,157,47,376,0,110,0,0,71157,142065,23400,215,0,110,177667,0,47
