tick,MEMRD_ADDR,MEMRD_DATA,CD16,FIDBO,RA,RT,RD,RB,RX,CSA_12_0
69067026,0,0,171047,377,2266,66661,0,7656,2266,7710
69067027,0,0,171047,377,2266,66661,0,7656,2266,7710
69067028,0,0,171047,377,2266,66661,0,7656,2266,7710
69067029,0,0,171047,47,377,66661,0,7656,2266,0
# MARK ra tick=69067029
69067030,0,0,0,47,377,66661,0,7656,2266,0
69067031,0,0,0,47,377,66661,0,7656,2266,2001
69067032,0,0,0,47,377,66661,0,7656,2266,16311
69067217,0,0,177777,1,2267,66661,0,7656,2267,4333
69067218,0,0,177777,1,2267,66661,0,7656,2267,4333
69067219,0,6412,177777,1,2267,66661,0,7656,2267,4333
69067220,0,6412,177777,1,2267,66661,0,7656,2267,4333
69067221,0,6412,177777,1,2267,66661,0,7656,2267,4333
69067222,0,6412,177777,1,2267,66661,0,7656,2267,4333
69067223,0,0,177777,1,2267,66661,0,7656,2267,4333
69067224,0,0,177777,1,2267,66661,0,7656,2267,4333
69067225,0,0,177777,1,2267,66661,0,7656,2267,4333
69067226,0,0,177777,177777,2267,66661,0,7656,2267,4333
69067227,0,0,177777,177777,2267,66661,0,7656,2267,4334
69067228,0,0,177777,177777,2267,66661,0,7656,2267,377
69067229,0,0,177777,377,2267,66661,0,7656,2267,377
69067230,0,0,0,377,2267,66661,0,7656,2267,377
69067231,0,0,0,377,2267,66661,0,7656,2267,401
69067232,0,0,0,377,2267,66661,0,7656,2267,16310
69067233,0,0,0,377,2267,66661,0,7656,2267,16310
69067234,14310,0,0,377,2267,66661,0,7656,2267,0
69067235,14310,0,0,377,2267,66661,0,7656,2267,6000
69067236,0,0,0,377,2267,66661,0,7656,2267,6000
69067237,0,0,0,377,2267,66661,0,7656,2267,6000
69067238,0,0,0,377,2267,66661,0,7656,2267,6000
69067239,0,171047,171047,377,2267,66661,0,7656,2267,7710
69067240,0,171047,171047,377,2267,66661,0,7656,2267,7710
69067241,0,171047,171047,377,2267,66661,0,7656,2267,7710
69067242,0,171047,171047,377,2267,66661,0,7656,2267,7710
69067243,0,0,171047,377,2267,66661,0,7656,2267,7710
69067244,0,0,171047,377,2267,66661,0,7656,2267,7710
69067245,0,0,171047,377,2267,66661,0,7656,2267,7710
69067246,0,0,171047,47,377,66661,0,7656,2267,0
# MARK ra tick=69067246
69067247,0,0,0,47,377,66661,0,7656,2267,0
69067248,0,0,0,47,377,66661,0,7656,2267,2001
69067249,0,0,0,47,377,66661,0,7656,2267,16311
70359351,14313,0,0,0,75,47,0,7656,376,0
70359352,14313,0,0,0,75,47,0,7656,376,6000
70359353,0,0,0,0,75,47,0,7656,376,6000
70359354,0,0,0,0,75,47,0,7656,376,6000
70359355,0,0,0,0,75,47,0,7656,376,6000
70359356,0,146575,146575,0,75,47,0,7656,376,7465
