tick,CD16,AREG,TREG,FIDBO,CPUIDB,IOIDB8,THR,TXBYTE,CSA_12_0
44054491,2522,177777,116400,2522,2522,122,111,111,1133
# MARK idbR tick=44054491
44054492,2522,177777,116400,2522,2522,122,111,111,1133
44054493,2522,177777,116400,2522,2522,122,111,111,1134
44054494,15,177777,116400,15,15,15,111,111,1134
44054495,15,177777,116400,15,15,15,111,111,1135
44055091,173577,1,101,7553,7553,153,111,111,7735
44055092,173577,1,101,7553,7553,153,111,111,7735
44055093,173577,1,101,7553,7553,153,111,111,7735
44055094,173577,1,101,177,177,177,111,111,0
# MARK idb7f tick=44055094
44055095,0,1,101,177,177,177,111,111,0
44055096,0,1,101,177,177,177,111,111,2001
44055097,0,1,101,177,177,177,111,111,17157
44055098,0,1,101,177,177,177,111,111,17157
44057524,55344,143,302,55344,55344,344,111,111,3761
44057525,55344,143,302,55344,55344,344,111,111,3761
44057526,55344,143,302,55344,55344,344,111,111,2333
44057527,2525,143,302,2525,2525,125,111,111,2333
# MARK idbU tick=44057527
44057528,2525,143,302,2525,2525,125,111,111,2333
44057529,2525,143,302,2525,2525,125,111,111,2334
44057530,10,143,302,10,10,10,111,111,2334
44057531,10,143,302,10,10,10,111,111,2335
44061212,15,177777,110144,15,15,15,111,111,1131
44061213,15,177777,110144,15,15,15,111,111,1131
44061214,15,177777,110144,15,15,15,111,111,1133
44061215,2522,177777,110144,2522,2522,122,111,111,1133
# MARK idbR tick=44061215
44061216,2522,177777,110144,2522,2522,122,111,111,1133
44061217,2522,177777,110144,2522,2522,122,111,111,1134
44061218,15,177777,110144,15,15,15,111,111,1134
44061219,15,177777,110144,15,15,15,111,111,1135
44061277,7732,177777,110144,7732,7732,332,111,111,1151
44061278,53773,177777,110144,2522,53773,373,111,111,1151
44061279,53773,177777,110144,2522,53773,373,111,111,1151
44061280,2522,177777,110144,2522,2522,122,111,111,1151
# MARK idbR tick=44061280
44061281,55777,177777,110144,55345,55777,377,111,111,1151
44061282,55777,177777,110144,55345,55777,377,111,111,1151
44061283,55345,177777,110144,55345,55345,345,111,111,1152
44061284,110144,177777,110144,110144,110144,144,111,111,1152
44066391,15,177777,116400,15,15,15,111,111,1131
44066392,15,177777,116400,15,15,15,111,111,1131
44066393,15,177777,116400,15,15,15,111,111,1133
44066394,2522,177777,116400,2522,2522,122,111,111,1133
# MARK idbR tick=44066394
44066395,2522,177777,116400,2522,2522,122,111,111,1133
44066396,2522,177777,116400,2522,2522,122,111,111,1134
44066397,15,177777,116400,15,15,15,111,111,1134
44066398,15,177777,116400,15,15,15,111,111,1135
44071686,15,177777,116400,15,15,15,111,111,1131
44071687,15,177777,116400,15,15,15,111,111,1131
44071688,15,177777,116400,15,15,15,111,111,1133
44071689,2522,177777,116400,2522,2522,122,111,111,1133
# MARK idbR tick=44071689
44071690,2522,177777,116400,2522,2522,122,111,111,1133
44071691,2522,177777,116400,2522,2522,122,111,111,1134
44071692,15,177777,116400,15,15,15,111,111,1134
44071693,15,177777,116400,15,15,15,111,111,1135
44072115,7732,177777,110144,7732,7732,332,111,111,1156
44072116,7732,177777,110144,7732,7732,332,111,111,1156
44072117,7732,177777,110144,7732,7732,332,111,111,1156
44072118,2522,177777,110144,2522,2522,122,111,111,1156
# MARK idbR tick=44072118
44072119,2522,177777,110144,2522,2522,122,111,111,1156
44072120,2522,177777,110144,2522,2522,122,111,111,1156
44072121,55345,177777,110144,55345,55345,345,111,111,1156
44072122,55345,177777,110144,55345,55345,345,111,111,1156
44073975,55344,110,302,55344,55344,344,111,111,3761
44073976,55344,110,302,55344,55344,344,111,111,3761
44073977,55344,110,302,55344,55344,344,111,111,2333
44073978,2525,110,302,2525,2525,125,111,111,2333
# MARK idbU tick=44073978
44073979,2525,110,302,2525,2525,125,111,111,2333
44073980,2525,110,302,2525,2525,125,111,111,2334
44073981,10,110,302,10,10,10,111,111,2334
44073982,10,110,302,10,10,10,111,111,2335
44076741,15,177777,110044,15,15,15,111,111,1131
44076742,15,177777,110044,15,15,15,111,111,1131
44076743,15,177777,110044,15,15,15,111,111,1133
44076744,2522,177777,110044,2522,2522,122,111,111,1133
# MARK idbR tick=44076744
44076745,2522,177777,110044,2522,2522,122,111,111,1133
