tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN,RAM_IDX
45505853,101,6,5252,22452,6,5252,5,7753,0,0,51125,5010,0,400400,22011
45505854,101,6,5252,22452,6,5252,5,7753,0,0,51125,5010,0,400400,22011
45505855,145,6,5252,22452,6,5252,5,7753,0,0,51125,5010,0,400400,22011
45505856,145,6,5252,22452,6,5252,5,7753,0,0,51125,5010,0,400400,22011
45505857,145,6,5252,22452,6,5252,5,7753,0,0,51125,5010,0,400400,22011
45505858,145,6,5252,22452,6,5252,5,7753,22461,0,51125,5010,0,0,22011
45505859,145,6,5252,22452,6,5252,5,7753,22461,0,51125,5010,0,0,22011
45505860,145,6,5252,22452,6,5252,5,7753,0,0,51125,5010,1,0,22011
45505861,145,6,5252,22452,6,5252,5,7753,0,0,51125,5010,1,0,22011
45505862,145,6,5252,22452,6,5252,5,7753,0,0,51125,5010,1,0,22461
45505863,145,6,5252,22452,6,5252,5,7753,0,5311,51125,5010,1,0,22461
45505864,145,6,5252,22452,6,5252,5,7753,0,5311,51125,5010,1,0,22461
45505865,145,6,5252,22452,6,5252,5,7753,0,5311,51125,5010,1,0,22461
45505866,145,6,5252,22452,6,5252,5,7753,0,5311,51125,5010,1,0,22000
45505867,145,6,5252,22452,6,5252,5,7753,0,0,51125,5010,1,400400,22011
45505868,145,6,5252,22452,6,5252,5,7753,0,0,51125,5010,1,400400,22011
45505869,145,6,5252,22452,6,5252,5,7753,0,0,51125,5010,0,400400,22011
45505870,145,6,5252,22452,6,5252,5,7753,0,0,51125,5311,0,400400,22011
45505871,145,6,5252,22452,6,5252,5,7753,0,0,51125,5311,0,400400,22011
45505872,0,6,5252,22452,6,5252,5,7753,0,0,51125,5311,0,400400,22011
45505873,0,6,5252,22452,6,5252,5,7753,0,0,51125,5311,0,400400,22011
45505874,0,6,5252,22452,6,5252,5,7753,0,0,51125,5311,0,400400,22011
45505875,0,6,5252,22452,6,5252,5,7753,5311,0,51125,5311,0,412711,22011
45505876,0,6,5252,22452,6,5252,5,7753,5311,0,51125,5311,0,412711,22011
45505877,0,6,5252,22452,6,5252,5,7753,0,0,51125,5311,0,400400,22002
45505878,0,6,5252,22452,6,5252,5,7753,6,0,51125,5311,0,400406,4002
45505879,0,6,5252,22452,6,5252,5,7753,6,0,51125,5311,0,400406,5311
45505880,0,6,5252,22452,6,5252,5,7753,6,0,51125,5311,0,400406,5311
45505881,2001,6,5252,22452,6,5252,5,7753,6,0,51125,5311,0,400406,5311
45505882,16452,6,5252,22452,6,5252,5,7753,6,0,51125,5311,0,400406,5311
45505883,16452,6,5252,22452,6,5252,5,7753,6,0,51125,5311,0,400406,4000
45505884,0,6,5252,22452,6,5252,5,7753,6,0,51125,5311,0,400406,4002
45505885,0,6,5252,22452,6,5252,5,7753,0,0,51125,5311,0,400400,4002
45505886,0,6,5252,22452,6,5252,5,7753,22452,0,51125,5311,0,0,4002
45505887,6000,6,5252,22452,6,5252,5,7753,22452,0,51125,5311,0,0,4002
45505888,6000,6,5252,22452,6,5252,5,7753,0,0,51125,5311,1,0,4011
45505889,6000,6,5252,22452,6,5252,5,7753,0,0,51125,5311,1,0,22011
45505890,6000,6,5252,22452,6,5252,5,7753,0,0,51125,5311,1,0,22452
45505891,6510,6,5252,22452,6,5252,5,7753,0,51011,51125,5311,1,0,22452
45505892,6510,6,5252,22452,6,5252,5,7753,0,51011,51125,5311,1,0,22452
45505893,6510,6,5252,22452,6,5252,5,7753,0,51011,51125,5311,1,0,22452
45505894,6510,6,5252,22452,6,5252,5,7753,0,51011,51125,5311,1,0,22000
45505895,6510,6,5252,22452,6,5252,5,7753,0,0,51125,5311,1,400400,22011
45505896,6510,6,5252,22452,6,5252,5,7753,0,0,51125,5311,1,400400,22011
45505897,6510,6,5252,22452,6,5252,5,7753,0,0,51125,5311,0,400400,22011
45505898,117,6,5252,22453,6,5252,5,7753,0,0,51125,51011,0,400400,22011
45505899,117,6,5252,22453,6,5252,5,7753,0,0,51125,51011,0,400400,22011
45505900,172,6,5252,22453,6,5252,5,7753,0,0,51125,51011,0,400400,22011
45505901,172,6,5252,22453,6,5252,5,7753,0,0,51125,51011,0,400400,22011
45505902,172,6,5252,22453,6,5252,5,7753,0,0,51125,51011,0,400400,22011
45505903,172,6,5252,22453,6,5252,5,7753,22463,0,51125,51011,0,400,22011
45505904,172,6,5252,22453,6,5252,5,7753,22463,0,51125,51011,0,400,22011
45505905,172,6,5252,22453,6,5252,5,7753,0,0,51125,51011,1,0,22011
45505906,172,6,5252,22453,6,5252,5,7753,0,0,51125,51011,1,0,22011
45505907,172,6,5252,22453,6,5252,5,7753,0,0,51125,51011,1,0,22463
45505908,172,6,5252,22453,6,5252,5,7753,0,5251,51125,51011,1,0,22463
45505909,172,6,5252,22453,6,5252,5,7753,0,5251,51125,51011,1,0,22463
45505910,172,6,5252,22453,6,5252,5,7753,0,5251,51125,51011,1,0,22463
45505911,172,6,5252,22453,6,5252,5,7753,0,5251,51125,51011,1,0,22000
45505912,172,6,5252,22453,6,5252,5,7753,0,0,51125,51011,1,400400,22011
45505913,172,6,5252,22453,6,5252,5,7753,0,0,51125,51011,1,400400,22011
45505914,172,6,5252,22453,6,5252,5,7753,0,0,51125,51011,0,400400,22011
45505915,172,6,5252,22453,6,5252,5,7753,0,0,51125,5251,0,400400,22011
45505916,172,6,5252,22453,6,5252,5,7753,0,0,51125,5251,0,400400,22011
45505917,0,6,5252,22453,6,5252,5,7753,0,0,51125,5251,0,400400,22011
45505918,0,6,5252,22453,6,5252,5,7753,0,0,51125,5251,0,400400,22011
45505919,0,6,5252,22453,6,5252,5,7753,0,0,51125,5251,0,400400,22011
45505920,0,6,5252,22453,6,5252,5,7753,5251,0,51125,5251,0,400400,22011
45505921,0,6,5252,22453,6,5252,5,7753,5251,0,51125,5251,0,400400,22011
45505922,0,6,5252,22453,6,5252,5,7753,0,0,51125,5251,1,0,22002
45505923,0,6,5252,22453,6,5252,5,7753,0,0,51125,5251,1,0,4002
45505924,0,6,5252,22453,6,5252,5,7753,0,0,51125,5251,1,0,5251
45505925,0,6,5252,22453,6,5252,5,7753,0,74,51125,5251,1,0,5251
45505926,0,6,5252,22453,6,5252,5,7753,0,74,51125,5251,1,0,5251
45505927,0,6,5252,22453,6,5252,5,7753,0,74,51125,5251,1,0,5251
45505928,0,6,5252,22453,6,5252,5,7753,0,74,51125,5251,1,0,4000
45505929,0,6,5252,22453,6,5252,5,7753,0,0,51125,5251,1,400400,4002
45505930,0,6,5252,22453,6,5252,5,7753,0,0,51125,5251,1,400400,4002
45505931,0,6,5252,22453,6,5252,5,7753,0,0,51125,5251,0,400400,4002
45505932,0,6,5252,22453,6,5252,5,7753,0,0,51125,74,0,400400,4002
45505933,0,6,5252,22453,6,5252,5,7753,0,0,51125,74,0,400400,4002
45505934,2001,6,5252,22453,6,5252,5,7753,0,0,51125,74,0,400400,4002
