tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0
44604569,17171,123,17,1,10,1164,0,0,0,22416,173606,400,70000,0,177607,171,177606,1
44604570,0,123,17,1,10,1164,0,63171,0,22416,173606,400,70000,0,177607,171,177606,1
44604571,6000,123,17,1,10,1164,0,63171,0,22416,173606,400,70000,0,177607,171,177606,1
44604572,6000,123,17,1,10,1164,0,0,0,22416,173606,400,70000,0,177607,171,177606,1
44604573,6000,123,17,1,10,1164,0,0,0,22416,173606,400,70000,0,177607,171,177606,1
44604574,6000,123,17,1,10,1164,0,0,0,22416,173606,400,70000,0,177607,171,177606,1
44604575,7460,123,17,1,10,1164,146037,0,146037,22416,173606,400,70000,0,177607,171,177606,1
44604576,7460,123,17,1,10,1164,146037,0,146037,22416,173606,400,70000,0,177607,171,177606,1
44604577,7460,123,17,1,10,1164,146037,0,146037,22416,173606,400,70000,0,177607,171,177606,1
44604578,7460,123,17,1,10,1164,146037,0,146037,22416,173606,400,70000,0,177607,171,177606,1
44604579,7460,123,17,1,10,1164,146037,0,0,22416,173606,400,70000,0,177607,171,177606,1
44604580,7460,123,17,1,10,1164,146037,0,0,22416,173606,400,70000,0,177607,171,177606,1
44604581,7460,123,17,1,10,1164,146037,0,0,22416,173606,400,70000,0,177607,171,177606,1
44604582,145,123,17,177607,10,1164,146037,0,0,22416,146037,103377,145,0,773,177004,0,1164
44604583,145,123,17,177607,10,1164,0,0,0,22416,146037,103377,145,0,773,177004,0,1164
44604584,0,123,17,177607,10,1164,0,0,0,22416,146037,103377,145,0,773,177004,0,1164
44604585,17172,123,17,177607,10,1164,0,0,0,22416,146037,103377,145,0,773,177004,0,1164
44604586,17172,123,17,177607,10,1164,0,0,0,22416,146037,103377,145,0,773,177004,0,1164
44604587,0,123,17,177607,10,1164,0,63172,0,22416,146037,103377,145,0,773,177004,0,1164
44604588,6000,123,17,177607,10,1164,0,63172,0,22416,146037,103377,145,0,773,177004,0,1164
44604589,6000,123,17,177607,10,1164,0,0,0,22416,146037,103377,145,0,773,177004,0,1164
44604590,6000,123,17,177607,10,1164,0,0,0,22416,146037,103377,145,0,773,177004,0,1164
44604591,6000,123,17,177607,10,1164,0,0,0,22416,146037,103377,145,0,773,177004,0,1164
44604592,6146,123,17,177607,10,1164,14602,0,14602,22416,146037,103377,145,0,773,177004,0,1164
44604593,6146,123,17,177607,10,1164,14602,0,14602,22416,146037,103377,145,0,773,177004,0,1164
44604594,6146,123,17,177607,10,1164,14602,0,14602,22416,146037,103377,145,0,773,177004,0,1164
44604595,6146,123,17,177607,10,1164,14602,0,14602,22416,146037,103377,145,0,773,177004,0,1164
44604596,6146,123,17,177607,10,1164,14602,0,0,22416,146037,103377,145,0,773,177004,0,1164
44604597,6146,123,17,177607,10,1164,14602,0,0,22416,146037,103377,145,0,773,177004,0,1164
44604598,6146,123,17,177607,10,1164,14602,0,0,22416,146037,103377,145,0,773,177004,0,1164
44604599,145,123,17,773,10,1164,14773,0,0,22416,14602,175401,70145,0,773,177004,0,773
44604600,145,123,17,773,10,1164,773,0,0,22416,14602,175401,70145,0,773,177004,0,773
44604601,0,123,17,773,10,1164,773,0,0,22416,14602,175401,70145,0,773,177004,0,773
44604602,0,123,17,773,10,1164,773,0,0,22416,14602,175401,70145,0,773,177004,0,773
44604603,0,123,17,773,10,1164,773,0,0,22416,14602,175401,70145,0,773,177004,0,773
44604604,0,123,17,773,10,1164,773,766,0,22416,14602,175401,70145,0,773,177004,0,773
44604605,0,123,17,773,10,1164,773,766,0,22416,14602,175401,70145,0,773,177004,0,773
44604606,0,123,17,773,10,1164,773,0,0,22416,14602,175401,70145,0,773,177004,0,773
44604607,0,123,17,773,10,1164,773,773,0,22416,14602,175401,70145,0,773,177004,0,773
44604608,0,123,17,773,10,1164,0,773,0,22416,773,175401,0,0,0,177777,0,0
44604609,0,123,17,773,10,1164,0,773,0,22416,773,175401,0,4,0,177777,0,0
44604610,2001,123,17,773,10,1164,0,773,0,22416,773,175401,0,0,0,177777,0,0
44604611,17173,123,17,773,10,1164,0,773,0,22416,773,175401,0,0,0,177777,0,0
44604612,17173,123,17,773,10,1164,0,773,0,22416,773,175401,0,0,0,177777,0,0
44604613,0,123,17,773,10,1164,0,773,0,22416,773,175401,0,0,0,177777,0,0
44604614,0,123,17,773,10,1164,0,0,0,22416,773,175401,0,0,0,177777,0,0
